"","human_gene","nematode_gene"
"2378","NSRP1","ccdc-55"
"2379","CNOT7","ccf-1"
"2380","HCCS","cchl-1"
"2381","PDCD10","ccm-3"
"2382","CCNK","ccnk-1"
"2383","AGBL4","ccpp-6"
"2384","CNOT6L","ccr-4"
"2385","TCP1","cct-1"
"2386","CCT2","cct-2"
"2387","CCT3","cct-3"
"2388","CCT4","cct-4"
"2389","CCT5","cct-5"
"2390","CCT6B","cct-6"
"2391","CCT7","cct-7"
"2392","CCT8","cct-8"
"2393","CCZ1B","ccz-1"
"2394","SH3KBP1","cdap-2"
"2395","CDC25C","cdc-25.2"
"2396","CDC25C","cdc-25.3"
"2397","CDC37","cdc-37"
"2398","CDC42","cdc-42"
"2399","VCP","cdc-48.1"
"2400","VCP","cdc-48.2"
"2401","AFG2A","cdc-48.3"
"2402","TMEM30B","cdc-50.B"
"2403","CDC5L","cdc-5L"
"2404","CDC6","cdc-6"
"2405","CDC7","cdc-7"
"2406","CDC73","cdc-73"
"2407","CDA","cdd-1"
"2408","CDA","cdd-2"
"2409","SLC30A3","cdf-1"
"2410","CDS2","cdgs-1"
"2411","CDK1","cdk-1"
"2412","CDK5","cdk-2"
"2413","CDK7","cdk-7"
"2414","CDK9","cdk-9"
"2415","CDK5R1","cdka-1"
"2416","CDK5RAP3","cdkr-3"
"2417","SLBP","cdl-1"
"2418","CDO1","cdo-1"
"2419","FAXC","cdr-1"
"2420","FAXC","cdr-2"
"2421","FAXC","cdr-3"
"2422","FAXC","cdr-4"
"2423","FAXC","cdr-6"
"2424","FAXC","cdr-7"
"2425","CDT1","cdt-1"
"2426","DTL","cdt-2"
"2427","CEBPD","cebp-1"
"2428","MSL3","cec-7"
"2429","RAC2","ced-10"
"2430","TRPM8","ced-11"
"2431","CRK","ced-2"
"2432","CASP3","ced-3"
"2433","DOCK1","ced-5"
"2434","GULP1","ced-6"
"2435","BCL2L2","ced-9"
"2436","GET4","cee-1"
"2437","EPHX3","ceeh-2"
"2438","NKX2-6","ceh-1"
"2439","EN1","ceh-16"
"2440","PHOX2A","ceh-17"
"2441","POU5F1","ceh-18"
"2442","VAX2","ceh-2"
"2443","PBX4","ceh-20"
"2444","ONECUT1","ceh-21"
"2445","NKX2-6","ceh-22"
"2446","NKX2-8","ceh-24"
"2447","NKX2-8","ceh-28"
"2448","BARHL1","ceh-30"
"2449","BARHL1","ceh-31"
"2450","SIX6","ceh-32"
"2451","SIX4","ceh-34"
"2452","ONECUT1","ceh-38"
"2453","ONECUT1","ceh-39"
"2454","HINFP","ceh-41"
"2455","DLX1","ceh-43"
"2456","CUX1","ceh-44"
"2457","ONECUT1","ceh-48"
"2458","ONECUT1","ceh-49"
"2459","GSX1","ceh-5"
"2460","PBX1","ceh-60"
"2461","HOPX","ceh-89"
"2462","NKX3-1","ceh-9"
"2463","RNGTT","cel-1"
"2464","CHPT1","cept-1"
"2465","CEPT1","cept-2"
"2466","CERK","cerk-1"
"2467","SCRT1","ces-1"
"2468","CES1","cest-1.1"
"2469","CES1","cest-1.2"
"2470","CES1","cest-10"
"2471","CES1","cest-2.1"
"2472","CES1","cest-2.2"
"2473","CES2","cest-2.3"
"2474","CES2","cest-27"
"2475","CES1","cest-3"
"2476","CES2","cest-30"
"2477","CES1","cest-32"
"2478","CES5A","cest-35.1"
"2479","CES5A","cest-35.2"
"2480","CES1","cest-5.1"
"2481","CES1","cest-5.2"
"2482","CES1","cest-6"
"2483","CES1","cest-7"
"2484","CES1","cest-8"
"2485","CES4A","cest-9.1"
"2486","CES2","cest-9.2"
"2487","CALU","cex-1"
"2488","YBX3","cey-1"
"2489","YBX1","cey-2"
"2490","YBX1","cey-3"
"2491","YBX1","cey-4"
"2492","CFAP36","cfap-36"
"2493","ARID3C","cfi-1"
"2494","NUDT21","cfim-1"
"2495","CPSF6","cfim-2"
"2496","ABCC4","cft-1"
"2497","FZD5","cfz-2"
"2498","GTPBP1","cgp-1"
"2499","UGCG","cgt-1"
"2500","UGCG","cgt-2"
"2501","UGCG","cgt-3"
"2502","CHAF1A","chaf-1"
"2503","CHAF1B","chaf-2"
"2504","TMEM30A","chat-1"
"2505","CLTC","chc-1"
"2506","CHCHD3","chch-3"
"2507","CHDH","chdh-1"
"2508","ZFP41","che-1"
"2509","IFT140","che-11"
"2510","TOGARAM2","che-12"
"2511","IFT57","che-13"
"2512","IFT80","che-2"
"2513","DYNC2H1","che-3"
"2514","CNGA2","che-6"
"2515","HYAL1","chhy-1"
"2516","CHI3L1","chil-1"
"2517","CHI3L1","chil-11"
"2518","CHI3L1","chil-12"
"2519","CHI3L1","chil-13"
"2520","CHID1","chil-14"
"2521","CHI3L1","chil-15"
"2522","CHI3L1","chil-16"
"2523","CHI3L1","chil-17"
"2524","CHI3L2","chil-18"
"2525","CHI3L1","chil-19"
"2526","CHI3L2","chil-2"
"2527","CHI3L1","chil-21"
"2528","CHI3L1","chil-22"
"2529","CHI3L1","chil-23"
"2530","CHI3L1","chil-24"
"2531","CHI3L1","chil-25"
"2532","CHI3L1","chil-3"
"2533","CHI3L1","chil-4"
"2534","CHI3L1","chil-5"
"2535","CHI3L2","chil-6"
"2536","CHI3L1","chil-7"
"2537","CHI3L1","chil-8"
"2538","CHI3L2","chil-9"
"2539","CHN1","chin-1"
"2540","CHEK2","chk-2"
"2541","DDX11","chl-1"
"2542","STUB1","chn-1"
"2543","SLC5A10","cho-1"
"2544","ITGB1BP2","chp-1"
"2545","CHP1","chpf-1"
"2546","CHP1","chpf-2"
"2547","CHIT1","cht-1"
"2548","SLC44A3","chtl-1"
"2549","SIDT2","chup-1"
"2550","CIAO1","ciao-1"
"2551","CIAO2B","ciao-2B"
"2552","TUT7","cid-1"
"2553","RPRD1B","cids-1"
"2554","RPRD2","cids-2"
"2555","EIF3M","cif-1"
"2556","CIR1","cir-1"
"2557","CISD1","cisd-1"
"2558","CISD3","cisd-3.2"
"2559","CCNQ","cit-1.1"
"2560","CCNT1","cit-1.2"
"2561","CHKB","cka-1"
"2562","CHKB","cka-2"
"2563","CHKB","ckb-1"
"2564","CHKB","ckb-2"
"2565","CHKB","ckb-3"
"2566","CHKB","ckb-4"
"2567","ETNK1","ckc-1"
"2568","CAMKK1","ckk-1"
"2569","CKS1B","cks-1"
"2570","XRCC6","cku-70"
"2571","XRCC5","cku-80"
"2572","NPAS4","cky-1"
"2573","BSN","cla-1"
"2574","ABRA","clec-117"
"2575","ABRA","clec-119"
"2576","ABRA","clec-123"
"2577","CLEC2B","clec-146"
"2578","REG3G","clec-149"
"2579","REG3G","clec-150"
"2580","ABRA","clec-151"
"2581","ABRA","clec-153"
"2582","ABRA","clec-175"
"2583","REG3A","clec-178"
"2584","ABRA","clec-182"
"2585","CD302","clec-187"
"2586","CLEC5A","clec-196"
"2587","CLEC6A","clec-266"
"2588","ABRA","clec-73"
"2589","ABRA","clec-79"
"2590","REG1A","clec-86"
"2591","CLEC6A","clec-87"
"2592","CLEC6A","clec-88"
"2593","CLEC6A","clec-91"
"2594","CLCNKB","clh-3"
"2595","CLCN4","clh-5"
"2596","CLCN7","clh-6"
"2597","CALHM6","clhm-1"
"2598","CLTA","clic-1"
"2599","COQ7","clk-1"
"2600","TELO2","clk-2"
"2601","CLN3","cln-3.1"
"2602","CLN3","cln-3.2"
"2603","CLN3","cln-3.3"
"2604","CAPN2","clp-1"
"2605","CAPN15","clp-10"
"2606","CAPN7","clp-2"
"2607","CAPN8","clp-3"
"2608","CAPN8","clp-6"
"2609","CAPN8","clp-7"
"2610","CAPN2","clp-8"
"2611","CAPN15","clp-9"
"2612","CLP1","clpf-1"
"2613","CLPP","clpp-1"
"2614","SRI","clpr-1"
"2615","SRI","clpr-3"
"2616","SRI","clpr-4"
"2617","CLASP2","cls-1"
"2618","CLASP2","cls-2"
"2619","CLASP2","cls-3"
"2620","CLSPN","clsp-1"
"2621","CLUH","clu-1"
"2622","CAMK1","cmk-1"
"2623","CMTR1","cmtr-1"
"2624","PPP3R1","cnb-1"
"2625","CTDNEP1","cnep-1"
"2626","CNGA3","cng-2"
"2627","CNIH1","cni-1"
"2628","CNKSR3","cnk-1"
"2629","CNNM4","cnnm-1"
"2630","CNNM4","cnnm-3"
"2631","CNNM4","cnnm-5"
"2632","MUC1","cnp-2"
"2633","CANX","cnx-1"
"2634","COA3","coa-3"
"2635","COA5","coa-5"
"2636","PRORP","coa-6"
"2637","COA7","coa-7"
"2638","TBCEL","coel-1"
"2639","NKX2-8","cog-1"
"2640","COG1","cogc-1"
"2641","COG2","cogc-2"
"2642","COG3","cogc-3"
"2643","COG4","cogc-4"
"2644","COG5","cogc-5"
"2645","COG6","cogc-6"
"2646","COG8","cogc-8"
"2647","SCARA3","col-10"
"2648","SCARA3","col-126"
"2649","SCARA3","col-127"
"2650","SCARA3","col-144"
"2651","SCARA3","col-145"
"2652","SCARA3","col-148"
"2653","SCARA3","col-184"
"2654","SCARA3","col-187"
"2655","SCARA3","col-35"
"2656","SCARA3","col-47"
"2657","SCARA3","col-50"
"2658","SCARA3","col-86"
"2659","COL22A1","col-87"
"2660","COL7A1","col-99"
"2661","RBBP8","com-1"
"2662","COMTD1","comt-2"
"2663","COMTD1","comt-3"
"2664","COMTD1","comt-4"
"2665","COMTD1","comt-5"
"2666","COPA","copa-1"
"2667","COPB1","copb-1"
"2668","COPB2","copb-2"
"2669","ARCN1","copd-1"
"2670","COPE","cope-1"
"2671","COPG1","copg-1"
"2672","COPZ1","copz-1"
"2673","PDSS1","coq-1"
"2674","COQ2","coq-2"
"2675","COQ3","coq-3"
"2676","COQ4","coq-4"
"2677","COQ5","coq-5"
"2678","COQ6","coq-6"
"2679","COQ8B","coq-8"
"2680","CORO6","cor-1"
"2681","CNTD1","cosa-1"
"2682","COX10","cox-10"
"2683","COX11","cox-11"
"2684","COX15","cox-15"
"2685","COX19","cox-19"
"2686","COX4I2","cox-4"
"2687","COX5A","cox-5A"
"2688","COX6A2","cox-6A"
"2689","COX6B1","cox-6B"
"2690","COX7C","cox-7C"
"2691","CENPA","cpar-1"
"2692","CPEB4","cpb-1"
"2693","CPEB3","cpb-2"
"2694","CPEB1","cpb-3"
"2695","CPD","cpd-1"
"2696","CSTF1","cpf-1"
"2697","CSTF2","cpf-2"
"2698","CST3","cpi-1"
"2699","CST3","cpi-2"
"2700","GDA","cpin-1"
"2701","TAGLN3","cpn-1"
"2702","TAGLN3","cpn-2"
"2703","TAGLN3","cpn-3"
"2704","TAGLN3","cpn-4"
"2705","CPNE9","cpna-2"
"2706","CPNE9","cpna-4"
"2707","CTSB","cpr-1"
"2708","CTSB","cpr-2"
"2709","CTSB","cpr-4"
"2710","CTSB","cpr-5"
"2711","ENDOG","cps-6"
"2712","CPSF1","cpsf-1"
"2713","CPSF2","cpsf-2"
"2714","CPSF3","cpsf-3"
"2715","CPSF4L","cpsf-4"
"2716","CPT1A","cpt-1"
"2717","CPT2","cpt-2"
"2718","CPLX1","cpx-1"
"2719","CPLX2","cpx-2"
"2720","CTSV","cpz-1"
"2721","CTSZ","cpz-2"
"2722","NAA25","cra-1"
"2723","ATF1","crh-1"
"2724","CREB3L4","crh-2"
"2725","HECA","cri-1"
"2726","TIMP3","cri-2"
"2727","C1QBP","cri-3"
"2728","CRLS1","crls-1"
"2729","CARMIL1","crml-1"
"2730","FEN1","crn-1"
"2731","EXOSC10","crn-3"
"2732","ERI1","crn-4"
"2733","EXOSC5","crn-5"
"2734","DNASE2","crn-6"
"2735","DNASE2","crn-7"
"2736","CALR","crt-1"
"2737","CRTC1","crtc-1"
"2738","ERCC8","csa-1"
"2739","GPS1","csn-1"
"2740","COPS2","csn-2"
"2741","COPS4","csn-4"
"2742","COPS5","csn-5"
"2743","COPS6","csn-6"
"2744","CSNK1G3","csnk-1"
"2745","CASP14","csp-1"
"2746","CASP3","csp-2"
"2747","CASP3","csp-3"
"2748","CASQ1","csq-1"
"2749","STK3","cst-1"
"2750","STK3","cst-2"
"2751","MT-CYB","ctb-1"
"2752","MT-CO1","ctc-1"
"2753","MT-CO2","ctc-2"
"2754","MT-CO3","ctc-3"
"2755","CHTF18","ctf-18"
"2756","WDHD1","ctf-4"
"2757","CHTF8","ctf-8"
"2758","SEC14L4","ctg-1"
"2759","CTH","cth-1"
"2760","CTH","cth-2"
"2761","CAT","ctl-1"
"2762","CAT","ctl-2"
"2763","CAT","ctl-3"
"2764","CTNNAL1","ctn-1"
"2765","CTNNBL1","ctnb-1"
"2766","CTNS","ctns-1"
"2767","CTPS2","ctps-1"
"2768","CTR9","ctr-9"
"2769","CS","cts-1"
"2770","ATP2C2","cua-1"
"2771","CUL1","cul-1"
"2772","CUL2","cul-2"
"2773","CUL3","cul-3"
"2774","CUL5","cul-5"
"2775","CUL1","cul-6"
"2776","PLEKHM1","cup-14"
"2777","OSTM1","cup-15"
"2778","DERL1","cup-2"
"2779","MCOLN3","cup-5"
"2780","HTATSF1","cus-2"
"2781","CUTC","cutc-1"
"2782","AKAP17A","cux-7"
"2783","CWC15","cwc-15"
"2784","CWF19L1","cwf-19L1"
"2785","CWF19L2","cwf-19L2"
"2786","WNT4","cwn-1"
"2787","WNT5B","cwn-2"
"2788","CCND1","cya-1"
"2789","CCND1","cya-2"
"2790","CCNB2","cyb-1"
"2791","CCNB2","cyb-2.1"
"2792","CCNB2","cyb-2.2"
"2793","CCNB3","cyb-3"
"2794","CYC1","cyc-1"
"2795","CYCS","cyc-2.1"
"2796","CYCS","cyc-2.2"
"2797","CCND2","cyd-1"
"2798","CCNE1","cye-1"
"2799","CCNH","cyh-1"
"2800","FAM47B","cyk-1"
"2801","RACGAP1","cyk-4"
"2802","CYLD","cyld-1"
"2803","PPIA","cyn-1"
"2804","PPIL3","cyn-10"
"2805","PPIH","cyn-11"
"2806","PPIL1","cyn-12"
"2807","PPWD1","cyn-15"
"2808","CWC27","cyn-16"
"2809","PPIA","cyn-2"
"2810","PPIA","cyn-3"
"2811","PPIL2","cyn-4"
"2812","PPIA","cyn-7"
"2813","PPIA","cyn-9"
"2814","CYP4V2","cyp-29A3"
"2815","CYP4V2","cyp-29A4"
"2816","CYP4V2","cyp-31A2"
"2817","CYP4V2","cyp-31A3"
"2818","CYP4V2","cyp-31A5"
"2819","CYP4V2","cyp-32A1"
"2820","CYP4V2","cyp-37B1"
"2821","SDSL","cysl-1"
"2822","SDS","cysl-2"
"2823","SDSL","cysl-3"
"2824","SDSL","cysl-4"
"2825","CYB5B","cytb-5.1"
"2826","CYB5A","cytb-5.2"
"2827","CCNY","cyy-1"
"2828","ZW10","czw-1"
"2829","DAAM2","daam-1"
"2830","DAB1","dab-1"
"2831","DACH2","dac-1"
"2832","DAD1","dad-1"
"2833","ACVR1C","daf-1"
"2834","IFT122","daf-10"
"2835","SMAD5","daf-14"
"2836","RPTOR","daf-15"
"2837","RFX2","daf-19"
"2838","ACAT2","daf-22"
"2839","NAA11","daf-31"
"2840","GPR150","daf-38"
"2841","ACVR1","daf-4"
"2842","PTGES3","daf-41"
"2843","DAGLA","dagl-2"
"2844","METTL4","damt-1"
"2845","MTHFD2","dao-3"
"2846","NOLC1","dao-5"
"2847","DAP3","dap-3"
"2848","DARS1","dars-1"
"2849","DARS2","dars-2"
"2850","BOLL","daz-1"
"2851","NODAL","dbl-1"
"2852","DBR1","dbr-1"
"2853","DBT","dbt-1"
"2854","DCAF1","dcaf-1"
"2855","DCP1B","dcap-1"
"2856","DCP2","dcap-2"
"2857","DCUN1D2","dcn-1"
"2858","GATAD2A","dcp-66"
"2859","DICER1","dcr-1"
"2860","DCPS","dcs-1"
"2861","BNIP3","dct-1"
"2862","ZFP36L1","dct-13"
"2863","EPHX1","dct-19"
"2864","DDB1","ddb-1"
"2865","DDI1","ddi-1"
"2866","WASHC3","ddl-1"
"2867","WASHC1","ddl-2"
"2868","TTC19","ddl-3"
"2869","DAO","ddo-1"
"2870","DAO","ddo-2"
"2871","DDO","ddo-3"
"2872","DDX10","ddx-10"
"2873","DHX15","ddx-15"
"2874","DDX17","ddx-17"
"2875","DDX23","ddx-23"
"2876","DDX27","ddx-27"
"2877","DHX35","ddx-35"
"2878","DDX52","ddx-52"
"2879","VCL","deb-1"
"2880","DECR1","decr-1.2"
"2881","DECR1","decr-1.3"
"2882","ASIC5","del-10"
"2883","ASIC1","del-6"
"2884","ASIC1","del-7"
"2885","ASIC1","del-8"
"2886","ASIC1","delm-1"
"2887","ASIC1","delm-2"
"2888","DENND4B","denn-4"
"2889","PTPRO","dep-1"
"2890","DERL2","der-2"
"2891","MOGAT2","dgat-2"
"2892","DGKQ","dgk-1"
"2893","DGKB","dgk-2"
"2894","DGKK","dgk-3"
"2895","DGKD","dgk-4"
"2896","DGKZ","dgk-5"
"2897","DAG1","dgn-1"
"2898","MOGAT2","dgtr-1"
"2899","DYNC1H1","dhc-1"
"2900","DHCR24","dhcr-24"
"2901","DHCR7","dhcr-7"
"2902","DHFR","dhfr-1"
"2903","ZDHHC6","dhhc-1"
"2904","ZDHHC18","dhhc-11"
"2905","ZDHHC7","dhhc-12"
"2906","ANKRD35","dhhc-13"
"2907","ANKRD35","dhhc-14"
"2908","ZDHHC18","dhhc-2"
"2909","ZDHHC3","dhhc-3"
"2910","ZDHHC2","dhhc-4"
"2911","ZDHHC21","dhhc-5"
"2912","ZDHHC21","dhhc-7"
"2913","ZDHHC19","dhhc-8"
"2914","ZDHHC7","dhhc-9"
"2915","DHODH","dhod-1"
"2916","DPYS","dhp-1"
"2917","DPYS","dhp-2"
"2918","DHPS","dhps-1"
"2919","CBR3","dhs-12"
"2920","DHRS2","dhs-13"
"2921","HSDL2","dhs-18"
"2922","DCXR","dhs-21"
"2923","DHRSX","dhs-22"
"2924","HSDL1","dhs-27"
"2925","HSD17B4","dhs-28"
"2926","DHRS7B","dhs-30"
"2927","CBR1","dhs-31"
"2928","HSDL2","dhs-6"
"2929","RDH14","dhs-7"
"2930","RDH13","dhs-8"
"2931","DHRS1","dhs-9"
"2932","CHMP1B","did-2"
"2933","MYOT","dim-1"
"2934","DIP2C","dip-2"
"2935","DIS3","dis-3"
"2936","DIS3L2","disl-2"
"2937","POLA2","div-1"
"2938","PARK7","djr-1.1"
"2939","PARK7","djr-1.2"
"2940","PRKD2","dkf-1"
"2941","PRKD3","dkf-2"
"2942","DLAT","dlat-1"
"2943","PDHX","dlat-2"
"2944","DYNLL2","dlc-1"
"2945","DLD","dld-1"
"2946","DLG4","dlg-1"
"2947","DYNC1LI2","dli-1"
"2948","MAP3K12","dlk-1"
"2949","DLST","dlst-1"
"2950","DMRTC1B","dmd-4"
"2951","DMRTC1B","dmd-5"
"2952","DMRTC1B","dmd-7"
"2953","DMRTC1B","dmd-9"
"2954","GPR139","dmsr-10"
"2955","GPR139","dmsr-11"
"2956","GPR139","dmsr-12"
"2957","GPR139","dmsr-13"
"2958","GPR139","dmsr-14"
"2959","GPR139","dmsr-15"
"2960","GPR139","dmsr-16"
"2961","GPR139","dmsr-9"
"2962","SETX","dna-2"
"2963","DCTN1","dnc-1"
"2964","DCTN2","dnc-2"
"2965","DCTN4","dnc-4"
"2966","DCTN5","dnc-5"
"2967","DCTN6","dnc-6"
"2968","DNAJB12","dnj-1"
"2969","DNAJA3","dnj-10"
"2970","DNAJC2","dnj-11"
"2971","DNAJB1","dnj-13"
"2972","DNAJC5B","dnj-14"
"2973","HSCB","dnj-15"
"2974","DNAJC21","dnj-17"
"2975","DNAJA2","dnj-19"
"2976","DNAJC25","dnj-2"
"2977","DNAJB11","dnj-20"
"2978","DNAJC19","dnj-21"
"2979","DNAJB7","dnj-24"
"2980","GAK","dnj-25"
"2981","DNAJB8","dnj-26"
"2982","DNAJC10","dnj-27"
"2983","DNAJC3","dnj-28"
"2984","SEC63","dnj-29"
"2985","DNAJC8","dnj-30"
"2986","DNAJC3","dnj-7"
"2987","DNAJC5B","dnj-8"
"2988","DONSON","dnsn-1"
"2989","EPHX1","dod-17"
"2990","EPHX1","dod-21"
"2991","EPHX1","dod-22"
"2992","EPHX1","dod-24"
"2993","BRIP1","dog-1"
"2994","DOLK","dolk-1"
"2995","DXO","dom-3"
"2996","GPR84","dop-1"
"2997","DOT1L","dot-1.1"
"2998","DOT1L","dot-1.2"
"2999","DOT1L","dot-1.3"
"3000","DOT1L","dot-1.4"
"3001","DUOXA1","doxa-1"
"3002","DPP4","dpf-1"
"3003","FAP","dpf-2"
"3004","DPP8","dpf-3"
"3005","APEH","dpf-5"
"3006","DPF3","dpff-1"
"3007","DPH1","dph-1"
"3008","DPH2","dph-2"
"3009","DPH5","dph-5"
"3010","DPH6","dph-6"
"3011","TFDP1","dpl-1"
"3012","DPM1","dpm-1"
"3013","DPM3","dpm-3"
"3014","NR1I3","dpr-1"
"3015","DPP3","dpt-1"
"3016","PDIA2","dpy-11"
"3017","DPY19L1","dpy-19"
"3018","RSBN1L","dpy-21"
"3019","MED12","dpy-22"
"3020","SMC4","dpy-27"
"3021","DPYD","dpyd-1"
"3022","RGMB","drag-1"
"3023","DRAP1","drap-1"
"3024","FAXDC2","drd-1"
"3025","FBXO11","dre-1"
"3026","DHX58","drh-3"
"3027","MAP3K19","drl-1"
"3028","DR1","dro-1"
"3029","DROSHA","drsh-1"
"3030","DTNBP1","dsbn-1"
"3031","VSX1","dsc-1"
"3032","MTTP","dsc-4"
"3033","DSCC1","dscc-1"
"3034","DVL3","dsh-1"
"3035","DVL3","dsh-2"
"3036","NOTCH4","dsl-4"
"3037","CMPK2","dtmk-1"
"3038","DUS2","dus-2"
"3039","DUT","dut-1"
"3040","SPRTN","dvc-1"
"3041","SATB2","dve-1"
"3042","KIN","dxbp-1"
"3043","DTNA","dyb-1"
"3044","NOS1AP","dyc-1"
"3045","DYNC1I1","dyci-1"
"3046","IFT70B","dyf-1"
"3047","TRAF3IP1","dyf-11"
"3048","IFT56","dyf-13"
"3049","WDR19","dyf-2"
"3050","CLUAP1","dyf-3"
"3051","MAK","dyf-5"
"3052","IFT46","dyf-6"
"3053","DNALI1","dyla-1"
"3054","DYNLT2B","dylt-2"
"3055","MX2","dyn-1"
"3056","DYNLRB1","dyrb-1"
"3057","EAF2","eaf-1"
"3058","MEAK7","eak-7"
"3059","EPRS1","ears-1"
"3060","EARS2","ears-2"
"3061","OPA1","eat-3"
"3062","SLC17A7","eat-4"
"3063","ATP1A3","eat-6"
"3064","ZSWIM8","ebax-1"
"3065","MAPRE1","ebp-1"
"3066","MAPRE1","ebp-3"
"3067","HADHA","ech-1.1"
"3068","HADHA","ech-1.2"
"3069","ECHDC3","ech-2"
"3070","ECHDC2","ech-5"
"3071","ECHS1","ech-6"
"3072","ECHS1","ech-7"
"3073","HADH","ech-8"
"3074","HADH","ech-9"
"3075","ECPAS","ecps-1"
"3076","ECT2","ect-2"
"3077","EDC3","edc-3"
"3078","EDC4","edc-4"
"3079","EEA1","eea-1"
"3080","EEF1B2","eef-1B.1"
"3081","EEF1G","eef-1G"
"3082","EEF2","eef-2"
"3083","HUWE1","eel-1"
"3084","PSD","efa-6"
"3085","EFHC1","efhc-1"
"3086","EFHD1","efhd-1"
"3087","EEF2K","efk-1"
"3088","E2F2","efl-1"
"3089","E2F2","efl-2"
"3090","E2F5","efl-3"
"3091","EFNA5","efn-2"
"3092","EFNA1","efn-3"
"3093","EFNA1","efn-4"
"3094","EFR3A","efr-3"
"3095","EEFSEC","efsc-1"
"3096","EFTUD2","eftu-2"
"3097","EXD1","egal-1"
"3098","CRELD2","egas-1"
"3099","CRELD2","egas-2"
"3100","WIF1","egas-3"
"3101","CRELD2","egas-4"
"3102","VASN","egg-6"
"3103","SOX14","egl-13"
"3104","KCNH5","egl-2"
"3105","WNT16","egl-20"
"3106","KCNK18","egl-23"
"3107","RERE","egl-27"
"3108","PCSK2","egl-3"
"3109","PRKACA","egl-4"
"3110","MECOM","egl-43"
"3111","TEAD3","egl-44"
"3112","EIF3A","egl-45"
"3113","INSM1","egl-46"
"3114","PLCB4","egl-8"
"3115","EGLN1","egl-9"
"3116","TMEM41B","egli-1"
"3117","RHPN1","ego-2"
"3118","EGR4","egrh-1"
"3119","EGR4","egrh-2"
"3120","EGR1","egrh-3"
"3121","ZNF597","ehn-3"
"3122","EPS15","ehs-1"
"3123","EIF1B","eif-1"
"3124","EIF1AY","eif-1.A"
"3125","EIF2A","eif-2A"
"3126","EIF2B1","eif-2Balpha"
"3127","EIF2B2","eif-2Bbeta"
"3128","EIF2B4","eif-2Bdelta"
"3129","EIF2B5","eif-2Bepsilon"
"3130","EIF2B3","eif-2Bgamma"
"3131","EIF2D","eif-2D"
"3132","EIF2S1","eif-2alpha"
"3133","EIF2S3","eif-2gamma"
"3134","EIF3B","eif-3.B"
"3135","EIF3C","eif-3.C"
"3136","EIF3D","eif-3.D"
"3137","EIF3E","eif-3.E"
"3138","EIF3F","eif-3.F"
"3139","EIF3G","eif-3.G"
"3140","EIF3H","eif-3.H"
"3141","EIF3J","eif-3.J"
"3142","EIF3K","eif-3.K"
"3143","EIF3L","eif-3.L"
"3144","EIF6","eif-6"
"3145","EIPR1","eipr-1"
"3146","DMAP1","ekl-4"
"3147","TANGO6","ekl-6"
"3148","ELOB","elb-1"
"3149","ELOC","elc-1"
"3150","ELOC","elc-2"
"3151","ERC2","elks-1"
"3152","ELL","ell-1"
"3153","ELOVL6","elo-3"
"3154","ELOVL3","elo-4"
"3155","ELOVL6","elo-9"
"3156","ELOF1","elof-1"
"3157","ELP1","elpc-1"
"3158","ELP2","elpc-2"
"3159","ELP3","elpc-3"
"3160","ELP4","elpc-4"
"3161","GATA3","elt-2"
"3162","GATA1","elt-4"
"3163","CDC16","emb-27"
"3164","AQR","emb-4"
"3165","SUPT6H","emb-5"
"3166","POR","emb-8"
"3167","COL4A6","emb-9"
"3168","EMC1","emc-1"
"3169","EMC2","emc-2"
"3170","EMC3","emc-3"
"3171","EMC6","emc-6"
"3172","LEMD1","emr-1"
"3173","SMDT1","emre-1"
"3174","ENDOU","endu-1"
"3175","ENDOU","endu-2"
"3176","ENGASE","eng-1"
"3177","ENO1","enol-1"
"3178","HSP90B1","enpl-1"
"3179","ARPP19","ensa-1"
"3180","SLC29A1","ent-1"
"3181","SLC29A1","ent-2"
"3182","SLC29A1","ent-3"
"3183","SLC29A1","ent-4"
"3184","SLC29A2","ent-5"
"3185","SLC29A3","ent-7"
"3186","DXO","eol-1"
"3187","EPC1","epc-1"
"3188","VMP1","epg-3"
"3189","EI24","epg-4"
"3190","WDR45","epg-6"
"3191","RB1CC1","epg-7"
"3192","ATG101","epg-9"
"3193","NGEF","ephx-1"
"3194","EPN2","epn-1"
"3195","EPS8L2","eps-8"
"3196","SELENOI","ept-1"
"3197","ERAL1","eral-1"
"3198","ERCC1","ercc-1"
"3199","KDELR1","erd-2.1"
"3200","KDELR1","erd-2.2"
"3201","ETF1","erfa-1"
"3202","ERH","erh-1"
"3203","ERH","erh-2"
"3204","ERI1","eri-1"
"3205","DNA2","eri-7"
"3206","ERLIN2","erl-1"
"3207","FRMD5","erm-1"
"3208","ERO1B","ero-1"
"3209","ERP44","erp-44.1"
"3210","ESS2","ess-2"
"3211","ESYT2","esyt-2"
"3212","UBE3C","etc-1"
"3213","ETHE1","ethe-1"
"3214","SPDEF","ets-4"
"3215","PDS5A","evl-14"
"3216","CDC45","evl-18"
"3217","ARL2","evl-20"
"3218","MUL1","exc-14"
"3219","CLIC4","exc-4"
"3220","FGD2","exc-5"
"3221","FHDC1","exc-6"
"3222","ELAVL4","exc-7"
"3223","CLIC2","exl-1"
"3224","EXO1","exo-1"
"3225","APEX1","exo-3"
"3226","EXOC7","exoc-7"
"3227","EXOC8","exoc-8"
"3228","EXOSC1","exos-1"
"3229","EXOSC2","exos-2"
"3230","EXOSC3","exos-3"
