"","human_gene","Sheep_gene"
"13379","SYCE3","SYCE3"
"13380","SYCN","SYCN"
"13381","SYCP1","SYCP1"
"13382","SYCP2","SYCP2"
"13383","SYCP2L","SYCP2L"
"13384","SYCP3","SYCP3"
"13385","SYDE1","SYDE1"
"13386","SYDE2","SYDE2"
"13387","SYF2","SYF2"
"13388","SYK","SYK"
"13389","SYMPK","SYMPK"
"13390","SYN1","SYN1"
"13391","SYN2","SYN2"
"13392","SYN3","SYN3"
"13393","SYNC","SYNC"
"13394","SYNDIG1","SYNDIG1"
"13395","SYNDIG1L","SYNDIG1L"
"13396","SYNE1","SYNE1"
"13397","SYNE3","SYNE3"
"13398","SYNE4","SYNE4"
"13399","SYNGAP1","SYNGAP1"
"13400","SYNGR1","SYNGR1"
"13401","SYNGR2","SYNGR2"
"13402","SYNGR3","SYNGR3"
"13403","SYNGR4","SYNGR4"
"13404","SYNJ1","SYNJ1"
"13405","SYNJ2","SYNJ2"
"13406","SYNM","SYNM"
"13407","SYNPO","SYNPO"
"13408","SYNPO2","SYNPO2"
"13409","SYNPO2L","SYNPO2L"
"13410","SYNPR","SYNPR"
"13411","SYNRG","SYNRG"
"13412","SYP","SYP"
"13413","SYPL1","SYPL1"
"13414","SYPL2","SYPL2"
"13415","SYT1","SYT1"
"13416","SYT10","SYT10"
"13417","SYT11","SYT11"
"13418","SYT12","SYT12"
"13419","SYT13","SYT13"
"13420","SYT14","SYT14"
"13421","SYT16","SYT16"
"13422","SYT17","SYT17"
"13423","SYT2","SYT2"
"13424","SYT3","SYT3"
"13425","SYT4","SYT4"
"13426","SYT5","SYT5"
"13427","SYT6","SYT6"
"13428","SYT7","SYT7"
"13429","SYT8","SYT8"
"13430","SYT9","SYT9"
"13431","SYTL1","SYTL1"
"13432","SYTL4","SYTL4"
"13433","SYTL5","SYTL5"
"13434","SYVN1","SYVN1"
"13435","SZT2","SZT2"
"13436","TAAR1","TAAR1"
"13437","TAAR2","TAAR2"
"13438","TAAR5","TAAR5"
"13439","TAAR8","TAAR8"
"13440","TAAR9","TAAR9"
"13441","TAB1","TAB1"
"13442","TAB2","TAB2"
"13443","TAB3","TAB3"
"13444","TAC1","TAC1"
"13445","TAC3","TAC3"
"13446","TACC1","TACC1"
"13447","TACC2","TACC2"
"13448","TACC3","TACC3"
"13449","TACO1","TACO1"
"13450","TACR1","TACR1"
"13451","TACR2","TACR2"
"13452","TACR3","TACR3"
"13453","TACSTD2","TACSTD2"
"13454","TADA2A","TADA2A"
"13455","TADA2B","TADA2B"
"13456","TADA3","TADA3"
"13457","TAF10","TAF10"
"13458","TAF11","TAF11"
"13459","TAF12","TAF12"
"13460","TAF13","TAF13"
"13461","TAF15","TAF15"
"13462","TAF1A","TAF1A"
"13463","TAF1B","TAF1B"
"13464","TAF1C","TAF1C"
"13465","TAF2","TAF2"
"13466","TAF3","TAF3"
"13467","TAF4","TAF4"
"13468","TAF4B","TAF4B"
"13469","TAF5","TAF5"
"13470","TAF5L","TAF5L"
"13471","TAF6","TAF6"
"13472","TAF6L","TAF6L"
"13473","TAF7","TAF7"
"13474","TAF7L","TAF7L"
"13475","TAF8","TAF8"
"13476","TAF9B","TAF9B"
"13477","TAFA1","TAFA1"
"13478","TAFA2","TAFA2"
"13479","TAFA4","TAFA4"
"13480","TAFA5","TAFA5"
"13481","TAFAZZIN","TAFAZZIN"
"13482","TAGAP","TAGAP"
"13483","TAGLN","TAGLN"
"13484","TAGLN2","TAGLN2"
"13485","TAGLN3","TAGLN3"
"13486","TAL1","TAL1"
"13487","TALDO1","TALDO1"
"13488","TAMALIN","TAMALIN"
"13489","TAMM41","TAMM41"
"13490","TANC1","TANC1"
"13491","TANC2","TANC2"
"13492","TANGO2","TANGO2"
"13493","TANGO6","TANGO6"
"13494","TANK","TANK"
"13495","TAOK1","TAOK1"
"13496","TAOK2","TAOK2"
"13497","TAP1","TAP1"
"13498","TAP2","TAP2"
"13499","TAPBP","TAPBP"
"13500","TAPBPL","TAPBPL"
"13501","TAPT1","TAPT1"
"13502","TARBP1","TARBP1"
"13503","TARBP2","TARBP2"
"13504","TARM1","TARM1"
"13505","TARS1","TARS1"
"13506","TARS2","TARS2"
"13507","TARS3","TARS3"
"13508","TAS1R1","TAS1R1"
"13509","TAS1R2","TAS1R2"
"13510","TAS2R10","TAS2R10"
"13511","TAS2R38","TAS2R38"
"13512","TAS2R39","TAS2R39"
"13513","TAS2R41","TAS2R41"
"13514","TAS2R42","TAS2R42"
"13515","TAS2R7","TAS2R7"
"13516","TASOR","TASOR"
"13517","TASOR2","TASOR2"
"13518","TASP1","TASP1"
"13519","TAT","TAT"
"13520","TATDN1","TATDN1"
"13521","TATDN2","TATDN2"
"13522","TAX1BP1","TAX1BP1"
"13523","TAX1BP3","TAX1BP3"
"13524","TBATA","TBATA"
"13525","TBC1D1","TBC1D1"
"13526","TBC1D10A","TBC1D10A"
"13527","TBC1D10B","TBC1D10B"
"13528","TBC1D10C","TBC1D10C"
"13529","TBC1D12","TBC1D12"
"13530","TBC1D13","TBC1D13"
"13531","TBC1D14","TBC1D14"
"13532","TBC1D15","TBC1D15"
"13533","TBC1D16","TBC1D16"
"13534","TBC1D17","TBC1D17"
"13535","TBC1D19","TBC1D19"
"13536","TBC1D2","TBC1D2"
"13537","TBC1D20","TBC1D20"
"13538","TBC1D21","TBC1D21"
"13539","TBC1D22A","TBC1D22A"
"13540","TBC1D22B","TBC1D22B"
"13541","TBC1D23","TBC1D23"
"13542","TBC1D24","TBC1D24"
"13543","TBC1D25","TBC1D25"
"13544","TBC1D2B","TBC1D2B"
"13545","TBC1D30","TBC1D30"
"13546","TBC1D31","TBC1D31"
"13547","TBC1D32","TBC1D32"
"13548","TBC1D4","TBC1D4"
"13549","TBC1D5","TBC1D5"
"13550","TBC1D7","TBC1D7"
"13551","TBC1D8","TBC1D8"
"13552","TBC1D8B","TBC1D8B"
"13553","TBC1D9","TBC1D9"
"13554","TBC1D9B","TBC1D9B"
"13555","TBCA","TBCA"
"13556","TBCB","TBCB"
"13557","TBCC","TBCC"
"13558","TBCCD1","TBCCD1"
"13559","TBCD","TBCD"
"13560","TBCE","TBCE"
"13561","TBCEL","TBCEL"
"13562","TBCK","TBCK"
"13563","TBK1","TBK1"
"13564","TBKBP1","TBKBP1"
"13565","TBL1XR1","TBL1XR1"
"13566","TBL2","TBL2"
"13567","TBL3","TBL3"
"13568","TBPL1","TBPL1"
"13569","TBPL2","TBPL2"
"13570","TBR1","TBR1"
"13571","TBRG1","TBRG1"
"13572","TBRG4","TBRG4"
"13573","TBX1","TBX1"
"13574","TBX10","TBX10"
"13575","TBX15","TBX15"
"13576","TBX18","TBX18"
"13577","TBX19","TBX19"
"13578","TBX2","TBX2"
"13579","TBX20","TBX20"
"13580","TBX21","TBX21"
"13581","TBX22","TBX22"
"13582","TBX3","TBX3"
"13583","TBX4","TBX4"
"13584","TBX5","TBX5"
"13585","TBX6","TBX6"
"13586","TBXA2R","TBXA2R"
"13587","TBXAS1","TBXAS1"
"13588","TBXT","TBXT"
"13589","TC2N","TC2N"
"13590","TCAF1","TCAF1"
"13591","TCAIM","TCAIM"
"13592","TCAP","TCAP"
"13593","TCEA1","TCEA1"
"13594","TCEA2","TCEA2"
"13595","TCEA3","TCEA3"
"13596","TCEAL1","TCEAL1"
"13597","TCEAL8","TCEAL8"
"13598","TCEAL9","TCEAL9"
"13599","TCEANC2","TCEANC2"
"13600","TCERG1","TCERG1"
"13601","TCERG1L","TCERG1L"
"13602","TCF12","TCF12"
"13603","TCF15","TCF15"
"13604","TCF20","TCF20"
"13605","TCF21","TCF21"
"13606","TCF23","TCF23"
"13607","TCF24","TCF24"
"13608","TCF25","TCF25"
"13609","TCF3","TCF3"
"13610","TCF4","TCF4"
"13611","TCF7","TCF7"
"13612","TCF7L1","TCF7L1"
"13613","TCF7L2","TCF7L2"
"13614","TCFL5","TCFL5"
"13615","TCHHL1","TCHHL1"
"13616","TCHP","TCHP"
"13617","TCIM","TCIM"
"13618","TCIRG1","TCIRG1"
"13619","TCN1","TCN1"
"13620","TCN2","TCN2"
"13621","TCOF1","TCOF1"
"13622","TCP1","TCP1"
"13623","TCP11L1","TCP11L1"
"13624","TCP11L2","TCP11L2"
"13625","TCTA","TCTA"
"13626","TCTE1","TCTE1"
"13627","DYNLT2","TCTE3"
"13628","TCTN1","TCTN1"
"13629","TCTN2","TCTN2"
"13630","TCTN3","TCTN3"
"13631","TDG","TDG"
"13632","TDO2","TDO2"
"13633","TDP1","TDP1"
"13634","TDP2","TDP2"
"13635","TDRD1","TDRD1"
"13636","TDRD10","TDRD10"
"13637","TDRD12","TDRD12"
"13638","TDRD15","TDRD15"
"13639","TDRD3","TDRD3"
"13640","TDRD5","TDRD5"
"13641","TDRD6","TDRD6"
"13642","TDRD7","TDRD7"
"13643","TDRD9","TDRD9"
"13644","TDRKH","TDRKH"
"13645","TDRP","TDRP"
"13646","TEAD1","TEAD1"
"13647","TEAD2","TEAD2"
"13648","TEAD3","TEAD3"
"13649","TEAD4","TEAD4"
"13650","TEC","TEC"
"13651","TECPR1","TECPR1"
"13652","TECPR2","TECPR2"
"13653","TECR","TECR"
"13654","TECRL","TECRL"
"13655","TECTA","TECTA"
"13656","TECTB","TECTB"
"13657","TEDC1","TEDC1"
"13658","TEDC2","TEDC2"
"13659","TEDDM1","TEDDM1"
"13660","TEF","TEF"
"13661","TEFM","TEFM"
"13662","TEK","TEK"
"13663","TEKT1","TEKT1"
"13664","TEKT2","TEKT2"
"13665","TEKT3","TEKT3"
"13666","TEKT5","TEKT5"
"13667","TEKTL1","TEKTL1"
"13668","TELO2","TELO2"
"13669","TEN1","TEN1"
"13670","TENM1","TENM1"
"13671","TENM2","TENM2"
"13672","TENM3","TENM3"
"13673","TENM4","TENM4"
"13674","TENT4A","TENT4A"
"13675","TENT4B","TENT4B"
"13676","TENT5A","TENT5A"
"13677","TENT5B","TENT5B"
"13678","TENT5C","TENT5C"
"13679","TENT5D","TENT5D"
"13680","TEP1","TEP1"
"13681","TEPSIN","TEPSIN"
"13682","TERB1","TERB1"
"13683","TERF2","TERF2"
"13684","TERF2IP","TERF2IP"
"13685","TERT","TERT"
"13686","TES","TES"
"13687","TESC","TESC"
"13688","TESK1","TESK1"
"13689","TESK2","TESK2"
"13690","TESMIN","TESMIN"
"13691","TESPA1","TESPA1"
"13692","TET1","TET1"
"13693","TET2","TET2"
"13694","TET3","TET3"
"13695","TEX10","TEX10"
"13696","TEX101","TEX101"
"13697","TEX11","TEX11"
"13698","TEX12","TEX12"
"13699","TEX14","TEX14"
"13700","TEX15","TEX15"
"13701","TEX2","TEX2"
"13702","TEX22","TEX22"
"13703","TEX26","TEX26"
"13704","TEX261","TEX261"
"13705","TEX264","TEX264"
"13706","TEX29","TEX29"
"13707","TEX30","TEX30"
"13708","TEX36","TEX36"
"13709","TEX38","TEX38"
"13710","TEX46","TEX46"
"13711","TEX47","TEX47"
"13712","TEX50","TEX50"
"13713","TEX51","TEX51"
"13714","TEX52","TEX52"
"13715","TEX9","TEX9"
"13716","TF","TF"
"13717","TFAM","TFAM"
"13718","TFAP2A","TFAP2A"
"13719","TFAP2B","TFAP2B"
"13720","TFAP2C","TFAP2C"
"13721","TFAP2D","TFAP2D"
"13722","TFAP2E","TFAP2E"
"13723","TFAP4","TFAP4"
"13724","TFB1M","TFB1M"
"13725","TFB2M","TFB2M"
"13726","TFCP2","TFCP2"
"13727","TFCP2L1","TFCP2L1"
"13728","TFDP1","TFDP1"
"13729","TFDP2","TFDP2"
"13730","TFE3","TFE3"
"13731","TFEB","TFEB"
"13732","TFEC","TFEC"
"13733","TFF1","TFF1"
"13734","TFF2","TFF2"
"13735","TFF3","TFF3"
"13736","TFG","TFG"
"13737","TFIP11","TFIP11"
"13738","TFPI","TFPI"
"13739","TFPI2","TFPI2"
"13740","TFPT","TFPT"
"13741","TFR2","TFR2"
"13742","TFRC","TFRC"
"13743","TG","TG"
"13744","TGDS","TGDS"
"13745","TGFA","TGFA"
"13746","TGFB1","TGFB1"
"13747","TGFB1I1","TGFB1I1"
"13748","TGFB2","TGFB2"
"13749","TGFB3","TGFB3"
"13750","TGFBI","TGFBI"
"13751","TGFBR1","TGFBR1"
"13752","TGFBR2","TGFBR2"
"13753","TGFBR3","TGFBR3"
"13754","TGFBR3L","TGFBR3L"
"13755","TGFBRAP1","TGFBRAP1"
"13756","TGIF2","TGIF2"
"13757","TGM1","TGM1"
"13758","TGM2","TGM2"
"13759","TGM3","TGM3"
"13760","TGM5","TGM5"
"13761","TGM6","TGM6"
"13762","TGM7","TGM7"
"13763","TGS1","TGS1"
"13764","TH","TH"
"13765","THADA","THADA"
"13766","THAP1","THAP1"
"13767","THAP11","THAP11"
"13768","THAP2","THAP2"
"13769","THAP4","THAP4"
"13770","THAP5","THAP5"
"13771","THAP6","THAP6"
"13772","THAP7","THAP7"
"13773","THAP9","THAP9"
"13774","THBD","THBD"
"13775","THBS1","THBS1"
"13776","THBS2","THBS2"
"13777","THBS3","THBS3"
"13778","THBS4","THBS4"
"13779","SPMAP2","THEG"
"13780","THEM4","THEM4"
"13781","THEM5","THEM5"
"13782","THEM6","THEM6"
"13783","THEMIS","THEMIS"
"13784","THEMIS2","THEMIS2"
"13785","THG1L","THG1L"
"13786","THNSL1","THNSL1"
"13787","THNSL2","THNSL2"
"13788","THOC1","THOC1"
"13789","THOC2","THOC2"
"13790","THOC3","THOC3"
"13791","THOC5","THOC5"
"13792","THOC6","THOC6"
"13793","THOC7","THOC7"
"13794","THOP1","THOP1"
"13795","THPO","THPO"
"13796","THRA","THRA"
"13797","THRAP3","THRAP3"
"13798","THRB","THRB"
"13799","THRSP","THRSP"
"13800","THSD1","THSD1"
"13801","THSD4","THSD4"
"13802","THSD7A","THSD7A"
"13803","THSD7B","THSD7B"
"13804","THTPA","THTPA"
"13805","THUMPD1","THUMPD1"
"13806","THUMPD2","THUMPD2"
"13807","THUMPD3","THUMPD3"
"13808","THY1","THY1"
"13809","THYN1","THYN1"
"13810","TIA1","TIA1"
"13811","TIAL1","TIAL1"
"13812","TIAM1","TIAM1"
"13813","TIAM2","TIAM2"
"13814","TICAM1","TICAM1"
"13815","TICRR","TICRR"
"13816","TIE1","TIE1"
"13817","TIFA","TIFA"
"13818","TIFAB","TIFAB"
"13819","TIGD2","TIGD2"
"13820","TIGD3","TIGD3"
"13821","TIGD4","TIGD4"
"13822","TIGD5","TIGD5"
"13823","TIGD7","TIGD7"
"13824","TIGIT","TIGIT"
"13825","TIMELESS","TIMELESS"
"13826","TIMM10","TIMM10"
"13827","TIMM10B","TIMM10B"
"13828","TIMM13","TIMM13"
"13829","TIMM17A","TIMM17A"
"13830","TIMM17B","TIMM17B"
"13831","TIMM21","TIMM21"
"13832","TIMM22","TIMM22"
"13833","TIMM29","TIMM29"
"13834","TIMM44","TIMM44"
"13835","TIMM50","TIMM50"
"13836","TIMM8A","TIMM8A"
"13837","TIMM8B","TIMM8B"
"13838","TIMMDC1","TIMMDC1"
"13839","TIMP1","TIMP1"
"13840","TIMP3","TIMP3"
"13841","TIMP4","TIMP4"
"13842","TINAG","TINAG"
"13843","TINAGL1","TINAGL1"
"13844","TINF2","TINF2"
"13845","TIPARP","TIPARP"
"13846","TIPIN","TIPIN"
"13847","TIPRL","TIPRL"
"13848","TIRAP","TIRAP"
"13849","TJAP1","TJAP1"
"13850","TJP1","TJP1"
"13851","TJP2","TJP2"
"13852","TJP3","TJP3"
"13853","TK1","TK1"
"13854","TK2","TK2"
"13855","TKFC","TKFC"
"13856","TKT","TKT"
"13857","TKTL1","TKTL1"
"13858","TKTL2","TKTL2"
"13859","TLCD1","TLCD1"
"13860","TLCD2","TLCD2"
"13861","TLCD3B","TLCD3B"
"13862","TLCD4","TLCD4"
"13863","TLCD5","TLCD5"
"13864","TLDC2","TLDC2"
"13865","TLE1","TLE1"
"13866","TLE3","TLE3"
"13867","TLE4","TLE4"
"13868","TLE5","TLE5"
"13869","TLE6","TLE6"
"13870","TLE7","TLE7"
"13871","TLK1","TLK1"
"13872","TLK2","TLK2"
"13873","TLL1","TLL1"
"13874","TLL2","TLL2"
"13875","TLN1","TLN1"
"13876","TLN2","TLN2"
"13877","TLNRD1","TLNRD1"
"13878","TLR1","TLR1"
"13879","TLR10","TLR10"
"13880","TLR2","TLR2"
"13881","TLR3","TLR3"
"13882","TLR4","TLR4"
"13883","TLR5","TLR5"
"13884","TLR6","TLR6"
"13885","TLR7","TLR7"
"13886","TLR8","TLR8"
"13887","TLR9","TLR9"
"13888","TLX1","TLX1"
"13889","TLX2","TLX2"
"13890","TM2D1","TM2D1"
"13891","TM2D2","TM2D2"
"13892","TM2D3","TM2D3"
"13893","TM4SF1","TM4SF1"
"13894","TM4SF18","TM4SF18"
"13895","TM4SF19","TM4SF19"
"13896","TM4SF20","TM4SF20"
"13897","TM4SF4","TM4SF4"
"13898","TM4SF5","TM4SF5"
"13899","TM6SF1","TM6SF1"
"13900","TM7SF2","TM7SF2"
"13901","TM7SF3","TM7SF3"
"13902","TM9SF1","TM9SF1"
"13903","TM9SF2","TM9SF2"
"13904","TM9SF3","TM9SF3"
"13905","TM9SF4","TM9SF4"
"13906","TMA16","TMA16"
"13907","TMBIM1","TMBIM1"
"13908","TMBIM4","TMBIM4"
"13909","TMC1","TMC1"
"13910","TMC2","TMC2"
"13911","TMC3","TMC3"
"13912","TMC4","TMC4"
"13913","TMC5","TMC5"
"13914","TMC6","TMC6"
"13915","TMC7","TMC7"
"13916","TMC8","TMC8"
"13917","TMCC2","TMCC2"
"13918","TMCC3","TMCC3"
"13919","TMCO1","TMCO1"
"13920","TMCO2","TMCO2"
"13921","TMCO3","TMCO3"
"13922","TMCO4","TMCO4"
"13923","TMCO5A","TMCO5A"
"13924","TMCO6","TMCO6"
"13925","TMED1","TMED1"
"13926","TMED10","TMED10"
"13927","TMED2","TMED2"
"13928","TMED3","TMED3"
"13929","TMED4","TMED4"
"13930","TMED5","TMED5"
"13931","TMED6","TMED6"
"13932","TMED8","TMED8"
"13933","TMED9","TMED9"
"13934","TMEFF1","TMEFF1"
"13935","TMEFF2","TMEFF2"
"13936","TMEM100","TMEM100"
"13937","TMEM101","TMEM101"
"13938","TMEM102","TMEM102"
"13939","TMEM104","TMEM104"
"13940","TMEM106A","TMEM106A"
"13941","TMEM106B","TMEM106B"
"13942","TMEM106C","TMEM106C"
"13943","TMEM107","TMEM107"
"13944","TMEM108","TMEM108"
"13945","TMEM109","TMEM109"
"13946","TMEM11","TMEM11"
"13947","TMEM114","TMEM114"
"13948","TMEM115","TMEM115"
"13949","TMEM116","TMEM116"
"13950","TMEM117","TMEM117"
"13951","TMEM119","TMEM119"
"13952","TMEM120A","TMEM120A"
"13953","TMEM120B","TMEM120B"
"13954","TMEM121","TMEM121"
"13955","TMEM125","TMEM125"
"13956","TMEM126A","TMEM126A"
"13957","TMEM126B","TMEM126B"
"13958","TMEM127","TMEM127"
"13959","TMEM128","TMEM128"
"13960","TMEM129","TMEM129"
"13961","TMEM130","TMEM130"
"13962","TMEM131","TMEM131"
"13963","TMEM131L","TMEM131L"
"13964","TMEM132A","TMEM132A"
"13965","TMEM132C","TMEM132C"
"13966","TMEM132D","TMEM132D"
"13967","TMEM132E","TMEM132E"
"13968","TMEM134","TMEM134"
"13969","TMEM135","TMEM135"
"13970","TMEM138","TMEM138"
"13971","TMEM139","TMEM139"
"13972","TMEM143","TMEM143"
"13973","TMEM144","TMEM144"
"13974","TMEM145","TMEM145"
"13975","TMEM147","TMEM147"
"13976","TMEM14A","TMEM14A"
"13977","TMEM150A","TMEM150A"
"13978","TMEM150B","TMEM150B"
"13979","TMEM150C","TMEM150C"
"13980","TMEM151A","TMEM151A"
"13981","TMEM151B","TMEM151B"
"13982","TMEM154","TMEM154"
"13983","TMEM156","TMEM156"
"13984","TMEM158","TMEM158"
"13985","LDAF1","TMEM159"
"13986","TMEM160","TMEM160"
"13987","TMEM161A","TMEM161A"
"13988","TMEM161B","TMEM161B"
"13989","TMEM163","TMEM163"
"13990","TMEM164","TMEM164"
"13991","TMEM165","TMEM165"
"13992","TMEM167A","TMEM167A"
"13993","TMEM168","TMEM168"
"13994","TMEM169","TMEM169"
"13995","TMEM17","TMEM17"
"13996","TMEM170A","TMEM170A"
"13997","TMEM170B","TMEM170B"
"13998","TMEM171","TMEM171"
"13999","TMEM174","TMEM174"
"14000","TMEM175","TMEM175"
"14001","TMEM176A","TMEM176A"
"14002","TMEM177","TMEM177"
"14003","TMEM178A","TMEM178A"
"14004","TMEM178B","TMEM178B"
"14005","TMEM179","TMEM179"
"14006","TMEM179B","TMEM179B"
"14007","TMEM181","TMEM181"
"14008","TMEM182","TMEM182"
"14009","TMEM183A","TMEM183A"
"14010","TMEM184A","TMEM184A"
"14011","TMEM184B","TMEM184B"
"14012","TMEM184C","TMEM184C"
"14013","TMEM185A","TMEM185A"
"14014","TMEM185B","TMEM185B"
"14015","TMEM19","TMEM19"
"14016","TMEM196","TMEM196"
"14017","TMEM198","TMEM198"
"14018","TMEM199","TMEM199"
"14019","TMEM200A","TMEM200A"
"14020","TMEM200B","TMEM200B"
"14021","TMEM201","TMEM201"
"14022","TMEM203","TMEM203"
"14023","TMEM204","TMEM204"
"14024","TMEM207","TMEM207"
"14025","TMEM208","TMEM208"
"14026","TMEM209","TMEM209"
"14027","TMEM210","TMEM210"
"14028","TMEM212","TMEM212"
"14029","TMEM213","TMEM213"
"14030","TMEM214","TMEM214"
"14031","TMEM215","TMEM215"
"14032","TMEM216","TMEM216"
"14033","TMEM217","TMEM217"
"14034","TMEM218","TMEM218"
"14035","TMEM219","TMEM219"
"14036","TMEM221","TMEM221"
"14037","TMEM222","TMEM222"
"14038","TMEM223","TMEM223"
"14039","TMEM225B","TMEM225B"
"14040","TMEM229A","TMEM229A"
"14041","TMEM229B","TMEM229B"
"14042","TMEM230","TMEM230"
"14043","TMEM231","TMEM231"
"14044","TMEM232","TMEM232"
"14045","TMEM233","TMEM233"
"14046","TMEM234","TMEM234"
"14047","TMEM235","TMEM235"
"14048","TMEM236","TMEM236"
"14049","TMEM237","TMEM237"
"14050","TMEM238","TMEM238"
"14051","TMEM238L","TMEM238L"
"14052","TMEM239","TMEM239"
"14053","TMEM240","TMEM240"
"14054","TMEM241","TMEM241"
"14055","TMEM242","TMEM242"
"14056","TMEM244","TMEM244"
"14057","TMEM245","TMEM245"
"14058","TMEM247","TMEM247"
"14059","TMEM248","TMEM248"
"14060","TMEM25","TMEM25"
"14061","LYSET","TMEM251"
"14062","TMEM252","TMEM252"
"14063","TMEM253","TMEM253"
"14064","TMEM254","TMEM254"
"14065","TMEM255A","TMEM255A"
"14066","TMEM255B","TMEM255B"
"14067","TMEM258","TMEM258"
"14068","TMEM259","TMEM259"
"14069","TMEM26","TMEM26"
"14070","TMEM260","TMEM260"
"14071","TMEM262","TMEM262"
"14072","TMEM263","TMEM263"
"14073","TMEM266","TMEM266"
"14074","TMEM267","TMEM267"
"14075","TMEM268","TMEM268"
"14076","TMEM270","TMEM270"
"14077","TMEM271","TMEM271"
"14078","TMEM30A","TMEM30A"
"14079","TMEM30B","TMEM30B"
"14080","TMEM31","TMEM31"
"14081","TMEM33","TMEM33"
"14082","TMEM35A","TMEM35A"
"14083","TMEM35B","TMEM35B"
"14084","TMEM37","TMEM37"
"14085","TMEM38A","TMEM38A"
"14086","TMEM38B","TMEM38B"
"14087","TMEM39A","TMEM39A"
"14088","TMEM39B","TMEM39B"
"14089","TMEM40","TMEM40"
"14090","TMEM41A","TMEM41A"
"14091","TMEM41B","TMEM41B"
"14092","TMEM43","TMEM43"
"14093","TMEM44","TMEM44"
"14094","TMEM45B","TMEM45B"
"14095","TMEM47","TMEM47"
"14096","TMEM50A","TMEM50A"
"14097","TMEM50B","TMEM50B"
"14098","TMEM51","TMEM51"
"14099","TMEM52","TMEM52"
"14100","TMEM52B","TMEM52B"
"14101","TMEM53","TMEM53"
"14102","TMEM54","TMEM54"
"14103","TMEM59","TMEM59"
"14104","TMEM59L","TMEM59L"
"14105","TMEM60","TMEM60"
"14106","TMEM61","TMEM61"
"14107","TMEM62","TMEM62"
"14108","TMEM63A","TMEM63A"
"14109","TMEM63B","TMEM63B"
"14110","TMEM63C","TMEM63C"
"14111","TMEM64","TMEM64"
"14112","TMEM67","TMEM67"
"14113","TMEM68","TMEM68"
"14114","TMEM69","TMEM69"
"14115","TMEM71","TMEM71"
"14116","TMEM72","TMEM72"
"14117","TMEM74","TMEM74"
"14118","TMEM74B","TMEM74B"
"14119","TMEM79","TMEM79"
"14120","TMEM80","TMEM80"
"14121","TMEM81","TMEM81"
"14122","TMEM82","TMEM82"
"14123","TMEM86A","TMEM86A"
"14124","TMEM86B","TMEM86B"
"14125","TMEM87A","TMEM87A"
"14126","TMEM87B","TMEM87B"
"14127","TMEM88","TMEM88"
"14128","TMEM88B","TMEM88B"
"14129","TMEM89","TMEM89"
"14130","TMEM8B","TMEM8B"
"14131","TMEM9","TMEM9"
"14132","TMEM91","TMEM91"
"14133","TMEM92","TMEM92"
"14134","TMEM94","TMEM94"
"14135","TMEM97","TMEM97"
"14136","TMEM98","TMEM98"
"14137","TMEM9B","TMEM9B"
"14138","TMF1","TMF1"
"14139","TMIE","TMIE"
"14140","TMIGD1","TMIGD1"
"14141","TMIGD3","TMIGD3"
"14142","TMLHE","TMLHE"
"14143","TMOD1","TMOD1"
"14144","TMOD2","TMOD2"
"14145","TMOD3","TMOD3"
"14146","TMOD4","TMOD4"
"14147","TMPRSS11A","TMPRSS11A"
"14148","TMPRSS11D","TMPRSS11D"
"14149","TMPRSS11E","TMPRSS11E"
"14150","TMPRSS11F","TMPRSS11F"
"14151","TMPRSS12","TMPRSS12"
"14152","TMPRSS13","TMPRSS13"
"14153","TMPRSS15","TMPRSS15"
"14154","TMPRSS2","TMPRSS2"
"14155","TMPRSS3","TMPRSS3"
"14156","TMPRSS4","TMPRSS4"
"14157","TMPRSS6","TMPRSS6"
"14158","TMPRSS7","TMPRSS7"
"14159","TMPRSS9","TMPRSS9"
"14160","TMSB15B","TMSB15B"
"14161","TMT1A","TMT1A"
"14162","TMT1B","TMT1B"
"14163","TMTC1","TMTC1"
"14164","TMTC2","TMTC2"
"14165","TMTC3","TMTC3"
"14166","TMTC4","TMTC4"
"14167","TMUB2","TMUB2"
"14168","TMX2","TMX2"
"14169","TMX3","TMX3"
"14170","TMX4","TMX4"
"14171","TNC","TNC"
"14172","TNF","TNF"
"14173","TNFAIP1","TNFAIP1"
"14174","TNFAIP3","TNFAIP3"
"14175","TNFAIP6","TNFAIP6"
"14176","TNFAIP8","TNFAIP8"
"14177","TNFAIP8L1","TNFAIP8L1"
"14178","TNFAIP8L2","TNFAIP8L2"
"14179","TNFAIP8L3","TNFAIP8L3"
"14180","TNFRSF11A","TNFRSF11A"
"14181","TNFRSF11B","TNFRSF11B"
"14182","TNFRSF13B","TNFRSF13B"
"14183","TNFRSF13C","TNFRSF13C"
"14184","TNFRSF17","TNFRSF17"
"14185","TNFRSF18","TNFRSF18"
"14186","TNFRSF19","TNFRSF19"
"14187","TNFRSF1A","TNFRSF1A"
"14188","TNFRSF1B","TNFRSF1B"
"14189","TNFRSF21","TNFRSF21"
"14190","TNFRSF25","TNFRSF25"
"14191","TNFRSF4","TNFRSF4"
"14192","TNFRSF6B","TNFRSF6B"
"14193","TNFRSF8","TNFRSF8"
"14194","TNFRSF9","TNFRSF9"
"14195","TNFSF10","TNFSF10"
"14196","TNFSF11","TNFSF11"
"14197","TNFSF12","TNFSF12"
"14198","TNFSF13","TNFSF13"
"14199","TNFSF15","TNFSF15"
"14200","TNFSF18","TNFSF18"
