"","human_gene","pig_gene"
"13085","SPMAP2L","SPMAP2L"
"13086","SPADH","SPMI"
"13087","SPMIP1","SPMIP1"
"13088","SPMIP10","SPMIP10"
"13089","SPMIP11","SPMIP11"
"13090","SPMIP2","SPMIP2"
"13091","SPMIP3","SPMIP3"
"13092","SPMIP4","SPMIP4"
"13093","SPMIP6","SPMIP6"
"13094","SPMIP7","SPMIP7"
"13095","SPMIP8","SPMIP8"
"13096","SPMIP9","SPMIP9"
"13097","SPN","SPN"
"13098","SPNS1","SPNS1"
"13099","SPNS2","SPNS2"
"13100","SPNS3","SPNS3"
"13101","SPO11","SPO11"
"13102","SPOCD1","SPOCD1"
"13103","SPOCK1","SPOCK1"
"13104","SPOCK2","SPOCK2"
"13105","SPOCK3","SPOCK3"
"13106","SPON1","SPON1"
"13107","SPON2","SPON2"
"13108","SPOP","SPOP"
"13109","SPOPL","SPOPL"
"13110","SPOUT1","SPOUT1"
"13111","SPP1","SPP1"
"13112","SPP2","SPP2"
"13113","SPPL2A","SPPL2A"
"13114","SPPL2B","SPPL2B"
"13115","SPPL2C","SPPL2C"
"13116","SPPL3","SPPL3"
"13117","SPR","SPR"
"13118","SPRED1","SPRED1"
"13119","SPRED2","SPRED2"
"13120","SPRED3","SPRED3"
"13121","SPRING1","SPRING1"
"13122","SPRN","SPRN"
"13123","SPRR1A","SPRP"
"13124","SPRTN","SPRTN"
"13125","SPRY1","SPRY1"
"13126","SPRY2","SPRY2"
"13127","SPRY3","SPRY3"
"13128","SPRY4","SPRY4"
"13129","SPRYD3","SPRYD3"
"13130","SPRYD4","SPRYD4"
"13131","SPRYD7","SPRYD7"
"13132","SPSB1","SPSB1"
"13133","SPSB2","SPSB2"
"13134","SPSB3","SPSB3"
"13135","SPSB4","SPSB4"
"13136","SPTA1","SPTA1"
"13137","SPTAN1","SPTAN1"
"13138","SPTB","SPTB"
"13139","SPTBN1","SPTBN1"
"13140","SPTBN2","SPTBN2"
"13141","SPTBN4","SPTBN4"
"13142","SPTBN5","SPTBN5"
"13143","SPTLC1","SPTLC1"
"13144","SPTLC2","SPTLC2"
"13145","SPTLC3","SPTLC3"
"13146","SPTSSA","SPTSSA"
"13147","SPTSSB","SPTSSB"
"13148","SPTY2D1","SPTY2D1"
"13149","SPX","SPX"
"13150","SPZ1","SPZ1"
"13151","SQLE","SQLE"
"13152","SQOR","SQOR"
"13153","SQSTM1","SQSTM1"
"13154","SRA1","SRA1"
"13155","SRARP","SRARP"
"13156","SRBD1","SRBD1"
"13157","SRC","SRC"
"13158","SRCAP","SRCAP"
"13159","SRCIN1","SRCIN1"
"13160","SRD5A1","SRD5A1"
"13161","SRD5A2","SRD5A2"
"13162","SREBF1","SREBF1"
"13163","SREBF2","SREBF2"
"13164","SREK1","SREK1"
"13165","SREK1IP1","SREK1IP1"
"13166","SRF","SRF"
"13167","SRFBP1","SRFBP1"
"13168","SRGAP1","SRGAP1"
"13169","SRGAP3","SRGAP3"
"13170","SRGN","SRGN"
"13171","SRI","SRI"
"13172","SRL","SRL"
"13173","SRM","SRM"
"13174","SRMS","SRMS"
"13175","SRP14","SRP14"
"13176","SRP19","SRP19"
"13177","SRP54","SRP54"
"13178","SRP68","SRP68"
"13179","SRP72","SRP72"
"13180","SRP9","SRP9"
"13181","SRPK1","SRPK1"
"13182","SRPK2","SRPK2"
"13183","SRPRA","SRPRA"
"13184","SRPRB","SRPRB"
"13185","SRPX","SRPX"
"13186","SRPX2","SRPX2"
"13187","SRR","SRR"
"13188","SRRD","SRRD"
"13189","SRRM1","SRRM1"
"13190","SRRM2","SRRM2"
"13191","SRRM3","SRRM3"
"13192","SRRM4","SRRM4"
"13193","SRRM5","SRRM5"
"13194","SRRT","SRRT"
"13195","SRSF1","SRSF1"
"13196","SRSF10","SRSF10"
"13197","SRSF11","SRSF11"
"13198","SRSF12","SRSF12"
"13199","SRSF3","SRSF3"
"13200","SRSF4","SRSF4"
"13201","SRSF5","SRSF5"
"13202","SRSF6","SRSF6"
"13203","SRSF7","SRSF7"
"13204","SRSF9","SRSF9"
"13205","SRXN1","SRXN1"
"13206","SRY","SRY"
"13207","SS18","SS18"
"13208","SS18L1","SS18L1"
"13209","SS18L2","SS18L2"
"13210","SSB","SSB"
"13211","SSBP1","SSBP1"
"13212","SSBP2","SSBP2"
"13213","SSBP3","SSBP3"
"13214","SSBP4","SSBP4"
"13215","SSC4D","SSC4D"
"13216","SSC5D","SSC5D"
"13217","SSH1","SSH1"
"13218","SSH2","SSH2"
"13219","SSH3","SSH3"
"13220","SSMEM1","SSMEM1"
"13221","SSNA1","SSNA1"
"13222","SSPN","SSPN"
"13223","SSR1","SSR1"
"13224","SSR2","SSR2"
"13225","SSR3","SSR3"
"13226","SSR4","SSR4"
"13227","SSRP1","SSRP1"
"13228","SST","SST"
"13229","SSTR1","SSTR1"
"13230","SSTR2","SSTR2"
"13231","SSTR3","SSTR3"
"13232","SSTR5","SSTR5"
"13233","SSUH2","SSUH2"
"13234","SSX2IP","SSX2IP"
"13235","ST13","ST13"
"13236","ST14","ST14"
"13237","ST18","ST18"
"13238","ST3GAL1","ST3GAL1"
"13239","ST3GAL2","ST3GAL2"
"13240","ST3GAL3","ST3GAL3"
"13241","ST3GAL4","ST3GAL4"
"13242","ST3GAL5","ST3GAL5"
"13243","ST3GAL6","ST3GAL6"
"13244","ST6GAL1","ST6GAL1"
"13245","ST6GAL2","ST6GAL2"
"13246","ST6GALNAC1","ST6GALNAC1"
"13247","ST6GALNAC2","ST6GALNAC2"
"13248","ST6GALNAC3","ST6GALNAC3"
"13249","ST6GALNAC4","ST6GALNAC4"
"13250","ST6GALNAC5","ST6GALNAC5"
"13251","ST7","ST7"
"13252","ST7L","ST7L"
"13253","ST8SIA1","ST8SIA1"
"13254","ST8SIA2","ST8SIA2"
"13255","ST8SIA3","ST8SIA3"
"13256","ST8SIA4","ST8SIA4"
"13257","ST8SIA5","ST8SIA5"
"13258","ST8SIA6","ST8SIA6"
"13259","STAB1","STAB1"
"13260","STAC","STAC"
"13261","STAC2","STAC2"
"13262","STAG1","STAG1"
"13263","STAG2","STAG2"
"13264","STAG3","STAG3"
"13265","STAM","STAM"
"13266","STAM2","STAM2"
"13267","STAMBP","STAMBP"
"13268","STAMBPL1","STAMBPL1"
"13269","STAP1","STAP1"
"13270","STAP2","STAP2"
"13271","STAR","STAR"
"13272","STARD10","STARD10"
"13273","STARD3","STARD3"
"13274","STARD3NL","STARD3NL"
"13275","STARD4","STARD4"
"13276","STARD5","STARD5"
"13277","STARD6","STARD6"
"13278","STARD7","STARD7"
"13279","STARD8","STARD8"
"13280","STAT1","STAT1"
"13281","STAT2","STAT2"
"13282","STAT3","STAT3"
"13283","STAT4","STAT4"
"13284","STAT5A","STAT5A"
"13285","STAT5B","STAT5B"
"13286","STAT6","STAT6"
"13287","STAU1","STAU1"
"13288","STAU2","STAU2"
"13289","STC1","STC1"
"13290","STC2","STC2"
"13291","STEAP1","STEAP1"
"13292","STEAP2","STEAP2"
"13293","STEAP3","STEAP3"
"13294","STEAP4","STEAP4"
"13295","STEEP1","STEEP1"
"13296","STIL","STIL"
"13297","STIM1","STIM1"
"13298","STIM2","STIM2"
"13299","STIMATE","STIMATE"
"13300","STING1","STING1"
"13301","STIP1","STIP1"
"13302","STK10","STK10"
"13303","STK11","STK11"
"13304","STK11IP","STK11IP"
"13305","STK16","STK16"
"13306","STK17A","STK17A"
"13307","STK17B","STK17B"
"13308","STK19","STK19"
"13309","STK24","STK24"
"13310","STK25","STK25"
"13311","STK26","STK26"
"13312","STK3","STK3"
"13313","STK32A","STK32A"
"13314","STK32B","STK32B"
"13315","STK32C","STK32C"
"13316","STK33","STK33"
"13317","STK35","STK35"
"13318","STK36","STK36"
"13319","STK38","STK38"
"13320","STK38L","STK38L"
"13321","STK39","STK39"
"13322","STK4","STK4"
"13323","STK40","STK40"
"13324","STKLD1","STKLD1"
"13325","STMN1","STMN1"
"13326","STMN2","STMN2"
"13327","STMN3","STMN3"
"13328","STMN4","STMN4"
"13329","STMND1","STMND1"
"13330","STMP1","STMP1"
"13331","STN1","STN1"
"13332","STOM","STOM"
"13333","STOML1","STOML1"
"13334","STOML2","STOML2"
"13335","STOML3","STOML3"
"13336","STON1","STON1"
"13337","STON2","STON2"
"13338","STOX1","STOX1"
"13339","STOX2","STOX2"
"13340","STPG1","STPG1"
"13341","STPG2","STPG2"
"13342","STPG3","STPG3"
"13343","STPG4","STPG4"
"13344","STRA6","STRA6"
"13345","STRA8","STRA8"
"13346","STRADA","STRADA"
"13347","STRADB","STRADB"
"13348","STRAP","STRAP"
"13349","STRBP","STRBP"
"13350","STRC","STRC"
"13351","STRIP1","STRIP1"
"13352","STRIP2","STRIP2"
"13353","STRIT1","STRIT1"
"13354","STRN","STRN"
"13355","STRN3","STRN3"
"13356","STRN4","STRN4"
"13357","STT3A","STT3A"
"13358","STT3B","STT3B"
"13359","STUB1","STUB1"
"13360","STUM","STUM"
"13361","STX10","STX10"
"13362","STX11","STX11"
"13363","STX12","STX12"
"13364","STX16","STX16"
"13365","STX17","STX17"
"13366","STX18","STX18"
"13367","STX19","STX19"
"13368","STX1A","STX1A"
"13369","STX1B","STX1B"
"13370","STX2","STX2"
"13371","STX3","STX3"
"13372","STX4","STX4"
"13373","STX5","STX5"
"13374","STX6","STX6"
"13375","STX7","STX7"
"13376","STX8","STX8"
"13377","STXBP1","STXBP1"
"13378","STXBP2","STXBP2"
"13379","STXBP3","STXBP3"
"13380","STXBP4","STXBP4"
"13381","STXBP5","STXBP5"
"13382","STXBP5L","STXBP5L"
"13383","STXBP6","STXBP6"
"13384","STYK1","STYK1"
"13385","STYX","STYX"
"13386","STYXL1","STYXL1"
"13387","STYXL2","STYXL2"
"13388","SUB1","SUB1"
"13389","SUCLA2","SUCLA2"
"13390","SUCLG1","SUCLG1"
"13391","SUCLG2","SUCLG2"
"13392","SUCNR1","SUCNR1"
"13393","SUCO","SUCO"
"13394","SUDS3","SUDS3"
"13395","SUFU","SUFU"
"13396","SUGCT","SUGCT"
"13397","SUGP1","SUGP1"
"13398","SUGP2","SUGP2"
"13399","SUGT1","SUGT1"
"13400","SULF1","SULF1"
"13401","SULF2","SULF2"
"13402","SULT1B1","SULT1B1"
"13403","SULT1C2","SULT1C2"
"13404","SULT1C3","SULT1C3"
"13405","SULT1C4","SULT1C4"
"13406","SULT1E1","SULT1E1"
"13407","SULT2A1","SULT2A1"
"13408","SULT2B1","SULT2B1"
"13409","SULT4A1","SULT4A1"
"13410","SULT6B1","SULT6B1"
"13411","SUMF1","SUMF1"
"13412","SUMF2","SUMF2"
"13413","SUMO2","SUMO2"
"13414","SUMO3","SUMO3"
"13415","SUN1","SUN1"
"13416","SUN2","SUN2"
"13417","SUN3","SUN3"
"13418","SUN5","SUN5"
"13419","SUOX","SUOX"
"13420","SUPT16H","SUPT16H"
"13421","SUPT20H","SUPT20H"
"13422","SUPT3H","SUPT3H"
"13423","SUPT4H1","SUPT4H1"
"13424","SUPT5H","SUPT5H"
"13425","SUPT6H","SUPT6H"
"13426","SUPT7L","SUPT7L"
"13427","SUPV3L1","SUPV3L1"
"13428","SURF1","SURF1"
"13429","SURF2","SURF2"
"13430","SURF4","SURF4"
"13431","SURF6","SURF6"
"13432","SUSD1","SUSD1"
"13433","SUSD2","SUSD2"
"13434","SUSD3","SUSD3"
"13435","SUSD4","SUSD4"
"13436","SUSD5","SUSD5"
"13437","SUSD6","SUSD6"
"13438","SUV39H1","SUV39H1"
"13439","SUV39H2","SUV39H2"
"13440","SUZ12","SUZ12"
"13441","SV2A","SV2A"
"13442","SV2B","SV2B"
"13443","SV2C","SV2C"
"13444","SVEP1","SVEP1"
"13445","SVIL","SVIL"
"13446","SVIP","SVIP"
"13447","SVOP","SVOP"
"13448","SVOPL","SVOPL"
"13449","SWAP70","SWAP70"
"13450","SWI5","SWI5"
"13451","SWSAP1","SWSAP1"
"13452","SWT1","SWT1"
"13453","SYAP1","SYAP1"
"13454","SYBU","SYBU"
"13455","SYCE1","SYCE1"
"13456","SYCE2","SYCE2"
"13457","SYCE3","SYCE3"
"13458","SYCN","SYCN"
"13459","SYCP1","SYCP1"
"13460","SYCP2","SYCP2"
"13461","SYCP2L","SYCP2L"
"13462","SYCP3","SYCP3"
"13463","SYDE1","SYDE1"
"13464","SYDE2","SYDE2"
"13465","SYF2","SYF2"
"13466","SYK","SYK"
"13467","SYMPK","SYMPK"
"13468","SYN1","SYN1"
"13469","SYN2","SYN2"
"13470","SYN3","SYN3"
"13471","SYNC","SYNC"
"13472","SYNCRIP","SYNCRIP"
"13473","SYNDIG1","SYNDIG1"
"13474","SYNDIG1L","SYNDIG1L"
"13475","SYNE2","SYNE2"
"13476","SYNE3","SYNE3"
"13477","SYNE4","SYNE4"
"13478","SYNGAP1","SYNGAP1"
"13479","SYNGR1","SYNGR1"
"13480","SYNGR2","SYNGR2"
"13481","SYNGR3","SYNGR3"
"13482","SYNGR4","SYNGR4"
"13483","SYNJ1","SYNJ1"
"13484","SYNJ2","SYNJ2"
"13485","SYNJ2BP","SYNJ2BP"
"13486","SYNPO","SYNPO"
"13487","SYNPO2","SYNPO2"
"13488","SYNPO2L","SYNPO2L"
"13489","SYNPR","SYNPR"
"13490","SYNRG","SYNRG"
"13491","SYP","SYP"
"13492","SYPL1","SYPL1"
"13493","SYPL2","SYPL2"
"13494","SYS1","SYS1"
"13495","SYT1","SYT1"
"13496","SYT10","SYT10"
"13497","SYT11","SYT11"
"13498","SYT12","SYT12"
"13499","SYT13","SYT13"
"13500","SYT14","SYT14"
"13501","SYT16","SYT16"
"13502","SYT17","SYT17"
"13503","SYT2","SYT2"
"13504","SYT3","SYT3"
"13505","SYT4","SYT4"
"13506","SYT5","SYT5"
"13507","SYT6","SYT6"
"13508","SYT7","SYT7"
"13509","SYT8","SYT8"
"13510","SYT9","SYT9"
"13511","SYTL1","SYTL1"
"13512","SYTL2","SYTL2"
"13513","SYTL3","SYTL3"
"13514","SYTL4","SYTL4"
"13515","SYTL5","SYTL5"
"13516","SYVN1","SYVN1"
"13517","SZT2","SZT2"
"13518","TAAR2","TAAR2"
"13519","TAAR9","TAAR9"
"13520","TAB1","TAB1"
"13521","TAB2","TAB2"
"13522","TAB3","TAB3"
"13523","TAC1","TAC1"
"13524","TAC3","TAC3"
"13525","TAC4","TAC4"
"13526","TACC2","TACC2"
"13527","TACO1","TACO1"
"13528","TACR1","TACR1"
"13529","TACR2","TACR2"
"13530","TACR3","TACR3"
"13531","TACSTD2","TACSTD2"
"13532","TADA1","TADA1"
"13533","TADA2A","TADA2A"
"13534","TADA2B","TADA2B"
"13535","TADA3","TADA3"
"13536","TAF10","TAF10"
"13537","TAF11","TAF11"
"13538","TAF12","TAF12"
"13539","TAF13","TAF13"
"13540","TAF15","TAF15"
"13541","TAF1A","TAF1A"
"13542","TAF1B","TAF1B"
"13543","TAF1C","TAF1C"
"13544","TAF1D","TAF1D"
"13545","TAF2","TAF2"
"13546","TAF3","TAF3"
"13547","TAF4","TAF4"
"13548","TAF4B","TAF4B"
"13549","TAF5","TAF5"
"13550","TAF5L","TAF5L"
"13551","TAF6","TAF6"
"13552","TAF6L","TAF6L"
"13553","TAF7","TAF7"
"13554","TAF7L","TAF7L"
"13555","TAF8","TAF8"
"13556","TAF9","TAF9"
"13557","TAF9B","TAF9B"
"13558","TAFA1","TAFA1"
"13559","TAFA2","TAFA2"
"13560","TAFA3","TAFA3"
"13561","TAFA4","TAFA4"
"13562","TAFA5","TAFA5"
"13563","TAFAZZIN","TAFAZZIN"
"13564","TAGAP","TAGAP"
"13565","TAGLN","TAGLN"
"13566","TAGLN3","TAGLN3"
"13567","TAL1","TAL1"
"13568","TALDO1","TALDO1"
"13569","TAMALIN","TAMALIN"
"13570","TAMM41","TAMM41"
"13571","TANC1","TANC1"
"13572","TANC2","TANC2"
"13573","TANGO2","TANGO2"
"13574","TANGO6","TANGO6"
"13575","TANK","TANK"
"13576","TAOK1","TAOK1"
"13577","TAOK2","TAOK2"
"13578","TAOK3","TAOK3"
"13579","TAP1","TAP1"
"13580","TAP2","TAP2"
"13581","TAPBP","TAPBP"
"13582","TAPBPL","TAPBPL"
"13583","TAPT1","TAPT1"
"13584","TARBP1","TARBP1"
"13585","TARBP2","TARBP2"
"13586","TARDBP","TARDBP"
"13587","TARS1","TARS1"
"13588","TARS2","TARS2"
"13589","TARS3","TARS3"
"13590","TAS1R1","TAS1R1"
"13591","TAS1R2","TAS1R2"
"13592","TAS1R3","TAS1R3"
"13593","TAS2R1","TAS2R1"
"13594","TAS2R10","TAS2R10"
"13595","TAS2R16","TAS2R16"
"13596","TAS2R3","TAS2R3"
"13597","TAS2R39","TAS2R39"
"13598","TAS2R4","TAS2R4"
"13599","TAS2R40","TAS2R40"
"13600","TAS2R41","TAS2R41"
"13601","TAS2R60","TAS2R60"
"13602","TAS2R7","TAS2R7"
"13603","TAS2R9","TAS2R9"
"13604","TASL","TASL"
"13605","TASOR","TASOR"
"13606","TASOR2","TASOR2"
"13607","TASP1","TASP1"
"13608","TAT","TAT"
"13609","TATDN1","TATDN1"
"13610","TATDN3","TATDN3"
"13611","TAX1BP1","TAX1BP1"
"13612","TAX1BP3","TAX1BP3"
"13613","TBATA","TBATA"
"13614","TBC1D1","TBC1D1"
"13615","TBC1D10A","TBC1D10A"
"13616","TBC1D10B","TBC1D10B"
"13617","TBC1D10C","TBC1D10C"
"13618","TBC1D12","TBC1D12"
"13619","TBC1D13","TBC1D13"
"13620","TBC1D15","TBC1D15"
"13621","TBC1D17","TBC1D17"
"13622","TBC1D19","TBC1D19"
"13623","TBC1D2","TBC1D2"
"13624","TBC1D20","TBC1D20"
"13625","TBC1D21","TBC1D21"
"13626","TBC1D22A","TBC1D22A"
"13627","TBC1D22B","TBC1D22B"
"13628","TBC1D23","TBC1D23"
"13629","TBC1D24","TBC1D24"
"13630","TBC1D25","TBC1D25"
"13631","TBC1D2B","TBC1D2B"
"13632","TBC1D30","TBC1D30"
"13633","TBC1D31","TBC1D31"
"13634","TBC1D32","TBC1D32"
"13635","TBC1D4","TBC1D4"
"13636","TBC1D5","TBC1D5"
"13637","TBC1D7","TBC1D7"
"13638","TBC1D8","TBC1D8"
"13639","TBC1D8B","TBC1D8B"
"13640","TBC1D9","TBC1D9"
"13641","TBC1D9B","TBC1D9B"
"13642","TBCA","TBCA"
"13643","TBCB","TBCB"
"13644","TBCC","TBCC"
"13645","TBCCD1","TBCCD1"
"13646","TBCD","TBCD"
"13647","TBCE","TBCE"
"13648","TBCEL","TBCEL"
"13649","TBCK","TBCK"
"13650","TBK1","TBK1"
"13651","TBL1XR1","TBL1XR1"
"13652","TBL2","TBL2"
"13653","TBL3","TBL3"
"13654","TBPL1","TBPL1"
"13655","TBPL2","TBPL2"
"13656","TBR1","TBR1"
"13657","TBRG1","TBRG1"
"13658","TBRG4","TBRG4"
"13659","TBX1","TBX1"
"13660","TBX10","TBX10"
"13661","TBX18","TBX18"
"13662","TBX19","TBX19"
"13663","TBX2","TBX2"
"13664","TBX20","TBX20"
"13665","TBX21","TBX21"
"13666","TBX22","TBX22"
"13667","TBX3","TBX3"
"13668","TBX4","TBX4"
"13669","TBX5","TBX5"
"13670","TBX6","TBX6"
"13671","TBXA2R","TBXA2R"
"13672","TBXAS1","TBXAS1"
"13673","TBXT","TBXT"
"13674","TC2N","TC2N"
"13675","TCAF1","TCAF1"
"13676","TCAIM","TCAIM"
"13677","TCAP","TCAP"
"13678","TCEA1","TCEA1"
"13679","TCEA2","TCEA2"
"13680","TCEA3","TCEA3"
"13681","TCEAL1","TCEAL1"
"13682","TCEAL7","TCEAL7"
"13683","TCEAL9","TCEAL9"
"13684","TCEANC","TCEANC"
"13685","TCEANC2","TCEANC2"
"13686","TCERG1","TCERG1"
"13687","TCERG1L","TCERG1L"
"13688","TCF12","TCF12"
"13689","TCF15","TCF15"
"13690","TCF19","TCF19"
"13691","TCF20","TCF20"
"13692","TCF21","TCF21"
"13693","TCF23","TCF23"
"13694","TCF24","TCF24"
"13695","TCF3","TCF3"
"13696","TCF4","TCF4"
"13697","TCF7","TCF7"
"13698","TCF7L2","TCF7L2"
"13699","TCFL5","TCFL5"
"13700","TCHHL1","TCHHL1"
"13701","TCHP","TCHP"
"13702","TCIM","TCIM"
"13703","TCIRG1","TCIRG1"
"13704","TCL1A","TCL1A"
"13705","TCL1B","TCL1B"
"13706","TCN1","TCN1"
"13707","TCN2","TCN2"
"13708","TCOF1","TCOF1"
"13709","TCP1","TCP1"
"13710","TCP11","TCP11"
"13711","TCP11L1","TCP11L1"
"13712","TCP11L2","TCP11L2"
"13713","TCTA","TCTA"
"13714","TCTE1","TCTE1"
"13715","TCTN1","TCTN1"
"13716","TCTN2","TCTN2"
"13717","TCTN3","TCTN3"
"13718","TDG","TDG"
"13719","TDO2","TDO2"
"13720","TDP1","TDP1"
"13721","TDP2","TDP2"
"13722","TDRD1","TDRD1"
"13723","TDRD10","TDRD10"
"13724","TDRD12","TDRD12"
"13725","TDRD3","TDRD3"
"13726","TDRD5","TDRD5"
"13727","TDRD6","TDRD6"
"13728","TDRD7","TDRD7"
"13729","TDRD9","TDRD9"
"13730","TDRKH","TDRKH"
"13731","TDRP","TDRP"
"13732","TEAD1","TEAD1"
"13733","TEAD2","TEAD2"
"13734","TEAD3","TEAD3"
"13735","TEAD4","TEAD4"
"13736","TEC","TEC"
"13737","TECPR1","TECPR1"
"13738","TECPR2","TECPR2"
"13739","TECRL","TECRL"
"13740","TECTA","TECTA"
"13741","TECTB","TECTB"
"13742","TEDC1","TEDC1"
"13743","TEDC2","TEDC2"
"13744","TEDDM1","TEDDM1"
"13745","TEF","TEF"
"13746","TEFM","TEFM"
"13747","TEK","TEK"
"13748","TEKT1","TEKT1"
"13749","TEKT2","TEKT2"
"13750","TEKT3","TEKT3"
"13751","TEKT5","TEKT5"
"13752","TEKTIP1","TEKTIP1"
"13753","TEKTL1","TEKTL1"
"13754","TELO2","TELO2"
"13755","TEN1","TEN1"
"13756","TENM1","TENM1"
"13757","TENM2","TENM2"
"13758","TENM3","TENM3"
"13759","TENM4","TENM4"
"13760","TENT2","TENT2"
"13761","TENT4A","TENT4A"
"13762","TENT4B","TENT4B"
"13763","TENT5A","TENT5A"
"13764","TENT5B","TENT5B"
"13765","TENT5C","TENT5C"
"13766","TENT5D","TENT5D"
"13767","TEP1","TEP1"
"13768","TEPSIN","TEPSIN"
"13769","TERB1","TERB1"
"13770","TERB2","TERB2"
"13771","TERF1","TERF1"
"13772","TERF2","TERF2"
"13773","TERF2IP","TERF2IP"
"13774","TERT","TERT"
"13775","TES","TES"
"13776","TESC","TESC"
"13777","TESK1","TESK1"
"13778","TESK2","TESK2"
"13779","TESMIN","TESMIN"
"13780","TESPA1","TESPA1"
"13781","TET1","TET1"
"13782","TET3","TET3"
"13783","TEX10","TEX10"
"13784","TEX101","TEX101"
"13785","TEX11","TEX11"
"13786","TEX12","TEX12"
"13787","TEX14","TEX14"
"13788","TEX2","TEX2"
"13789","TEX22","TEX22"
"13790","TEX26","TEX26"
"13791","TEX261","TEX261"
"13792","TEX264","TEX264"
"13793","TEX28","TEX28"
"13794","TEX29","TEX29"
"13795","TEX30","TEX30"
"13796","TEX35","TEX35"
"13797","TEX36","TEX36"
"13798","TEX38","TEX38"
"13799","TEX46","TEX46"
"13800","TEX47","TEX47"
"13801","TEX48","TEX48"
"13802","TEX50","TEX50"
"13803","TEX52","TEX52"
"13804","TEX54","TEX54"
"13805","TEX9","TEX9"
"13806","TF","TF"
"13807","TFAM","TFAM"
"13808","TFAP2A","TFAP2A"
"13809","TFAP2B","TFAP2B"
"13810","TFAP2C","TFAP2C"
"13811","TFAP2D","TFAP2D"
"13812","TFAP2E","TFAP2E"
"13813","TFAP4","TFAP4"
"13814","TFB1M","TFB1M"
"13815","TFB2M","TFB2M"
"13816","TFCP2","TFCP2"
"13817","TFCP2L1","TFCP2L1"
"13818","TFDP1","TFDP1"
"13819","TFDP2","TFDP2"
"13820","TFE3","TFE3"
"13821","TFEB","TFEB"
"13822","TFEC","TFEC"
"13823","TFF1","TFF1"
"13824","TFF2","TFF2"
"13825","TFF3","TFF3"
"13826","TFG","TFG"
"13827","TFIP11","TFIP11"
"13828","TFPI","TFPI"
"13829","TFPI2","TFPI2"
"13830","TFPT","TFPT"
"13831","TFR2","TFR2"
"13832","TFRC","TFRC"
"13833","TG","TG"
"13834","TGDS","TGDS"
"13835","TGFA","TGFA"
"13836","TGFB1","TGFB1"
"13837","TGFB1I1","TGFB1I1"
"13838","TGFB2","TGFB2"
"13839","TGFB3","TGFB3"
"13840","TGFBI","TGFBI"
"13841","TGFBR1","TGFBR1"
"13842","TGFBR2","TGFBR2"
"13843","TGFBR3","TGFBR3"
"13844","TGFBR3L","TGFBR3L"
"13845","TGFBRAP1","TGFBRAP1"
"13846","TGIF1","TGIF1"
"13847","TGIF2","TGIF2"
"13848","TGM1","TGM1"
"13849","TGM2","TGM2"
"13850","TGM3","TGM3"
"13851","TGM5","TGM5"
"13852","TGM6","TGM6"
"13853","TGM7","TGM7"
"13854","TGS1","TGS1"
"13855","TH","TH"
"13856","THAP1","THAP1"
"13857","THAP11","THAP11"
"13858","THAP2","THAP2"
"13859","THAP3","THAP3"
"13860","THAP4","THAP4"
"13861","THAP5","THAP5"
"13862","THAP6","THAP6"
"13863","THAP7","THAP7"
"13864","THAP8","THAP8"
"13865","THAP9","THAP9"
"13866","THBD","THBD"
"13867","THBS1","THBS1"
"13868","THBS2","THBS2"
"13869","THBS3","THBS3"
"13870","THBS4","THBS4"
"13871","THEM5","THEM5"
"13872","THEM6","THEM6"
"13873","THEMIS","THEMIS"
"13874","THEMIS2","THEMIS2"
"13875","THG1L","THG1L"
"13876","THNSL1","THNSL1"
"13877","THNSL2","THNSL2"
"13878","THOC1","THOC1"
"13879","THOC2","THOC2"
"13880","THOC3","THOC3"
"13881","THOC5","THOC5"
"13882","THOC6","THOC6"
"13883","THOC7","THOC7"
"13884","THOP1","THOP1"
"13885","THPO","THPO"
"13886","THRA","THRA"
"13887","THRAP3","THRAP3"
"13888","THRB","THRB"
"13889","THRSP","THRSP"
"13890","THSD1","THSD1"
"13891","THSD4","THSD4"
"13892","THSD7A","THSD7A"
"13893","THSD7B","THSD7B"
"13894","THTPA","THTPA"
"13895","THUMPD1","THUMPD1"
"13896","THUMPD2","THUMPD2"
"13897","THUMPD3","THUMPD3"
"13898","THYN1","THYN1"
"13899","TIA1","TIA1"
"13900","TIAL1","TIAL1"
"13901","TIAM1","TIAM1"
"13902","TIAM2","TIAM2"
"13903","TICAM1","TICAM1"
"13904","TICRR","TICRR"
"13905","TIE1","TIE1"
"13906","TIFA","TIFA"
"13907","TIFAB","TIFAB"
"13908","TIGAR","TIGAR"
"13909","TIGD2","TIGD2"
"13910","TIGD3","TIGD3"
"13911","TIGD4","TIGD4"
"13912","TIGD5","TIGD5"
"13913","TIGD7","TIGD7"
"13914","TIGIT","TIGIT"
"13915","TIMD4","TIMD4"
"13916","TIMELESS","TIMELESS"
"13917","TIMM10","TIMM10"
"13918","TIMM10B","TIMM10B"
"13919","TIMM13","TIMM13"
"13920","TIMM17A","TIMM17A"
"13921","TIMM17B","TIMM17B"
"13922","TIMM21","TIMM21"
"13923","TIMM22","TIMM22"
"13924","TIMM29","TIMM29"
"13925","TIMM44","TIMM44"
"13926","TIMM50","TIMM50"
"13927","TIMM8A","TIMM8A"
"13928","TIMM8B","TIMM8B"
"13929","TIMMDC1","TIMMDC1"
"13930","TIMP1","TIMP1"
"13931","TIMP3","TIMP3"
"13932","TIMP4","TIMP4"
"13933","TINAG","TINAG"
"13934","TINAGL1","TINAGL1"
