"","human_gene","zebarfish_gene"
"13772","SLC10A2","slc10a2"
"13773","SLC10A3","slc10a3"
"13774","SLC10A4","slc10a4"
"13775","SLC10A7","slc10a7"
"13776","SLC11A2","slc11a2"
"13777","SLC12A1","slc12a1"
"13778","SLC12A2","slc12a2"
"13779","SLC12A3","slc12a3"
"13780","SLC12A4","slc12a4"
"13781","SLC12A7","slc12a7a"
"13782","SLC12A7","slc12a7b"
"13783","SLC12A8","slc12a8"
"13784","SLC12A9","slc12a9"
"13785","SLC13A1","slc13a1"
"13786","SLC13A2","slc13a2"
"13787","SLC13A3","slc13a3"
"13788","SLC13A4","slc13a4"
"13789","SLC13A5","slc13a5a"
"13790","SLC13A5","slc13a5b"
"13791","SLC14A2","slc14a2"
"13792","SLC15A1","slc15a1a"
"13793","SLC15A1","slc15a1b"
"13794","SLC15A2","slc15a2"
"13795","SLC15A4","slc15a4"
"13796","SLC16A10","slc16a10"
"13797","SLC16A12","slc16a12a"
"13798","SLC16A12","slc16a12b"
"13799","SLC16A13","slc16a13"
"13800","SLC16A1","slc16a1a"
"13801","SLC16A1","slc16a1b"
"13802","SLC16A3","slc16a3"
"13803","SLC16A4","slc16a4"
"13804","SLC16A5","slc16a5a"
"13805","SLC16A5","slc16a5b"
"13806","SLC16A6","slc16a6a"
"13807","SLC16A6","slc16a6b"
"13808","SLC16A8","slc16a8"
"13809","SLC16A9","slc16a9a"
"13810","SLC16A9","slc16a9b"
"13811","SLC17A4","slc17a5"
"13812","SLC17A6","slc17a6a"
"13813","SLC17A6","slc17a6b"
"13814","SLC17A7","slc17a7a"
"13815","SLC17A7","slc17a7b"
"13816","SLC17A8","slc17a8"
"13817","SLC17A9","slc17a9a"
"13818","SLC17A9","slc17a9b"
"13819","SLC18A2","slc18a2"
"13820","SLC18A3","slc18a3a"
"13821","SLC18A3","slc18a3b"
"13822","SLC18B1","slc18b1"
"13823","SLC19A1","slc19a1"
"13824","SLC19A2","slc19a2"
"13825","SLC19A3","slc19a3b"
"13826","SLC1A1","slc1a1"
"13827","SLC1A2","slc1a2a"
"13828","SLC1A2","slc1a2b"
"13829","SLC1A3","slc1a3a"
"13830","SLC1A3","slc1a3b"
"13831","SLC1A4","slc1a4"
"13832","SLC1A5","slc1a5"
"13833","SLC1A6","slc1a6"
"13834","SLC1A7","slc1a7a"
"13835","SLC1A7","slc1a7b"
"13836","SLC20A1","slc20a1a"
"13837","SLC20A1","slc20a1b"
"13838","SLC20A2","slc20a2"
"13839","SLC22A13","slc22a13b"
"13840","SLC22A11","slc22a15"
"13841","SLC22A16","slc22a16"
"13842","SLC22A18","slc22a18"
"13843","SLC22A2","slc22a2"
"13844","SLC22A11","slc22a21"
"13845","SLC22A23","slc22a23"
"13846","SLC22A31","slc22a31"
"13847","SLC22A14","slc22a4"
"13848","SLC22A11","slc22a5"
"13849","SLC22A8","slc22a6l"
"13850","SLC22A7","slc22a7b.1"
"13851","SLC22A7","slc22a7b.2"
"13852","SLC22A7","slc22a7b.3"
"13853","SLC23A1","slc23a1"
"13854","SLC23A2","slc23a2"
"13855","SLC23A3","slc23a3"
"13856","SLC24A1","slc24a1"
"13857","SLC24A2","slc24a2"
"13858","SLC24A3","slc24a3"
"13859","SLC24A4","slc24a4a"
"13860","SLC24A4","slc24a4b"
"13861","SLC24A5","slc24a5"
"13862","SLC25A10","slc25a10"
"13863","SLC25A11","slc25a11"
"13864","SLC25A12","slc25a12"
"13865","SLC25A13","slc25a13"
"13866","SLC25A15","slc25a15a"
"13867","SLC25A15","slc25a15b"
"13868","SLC25A16","slc25a16"
"13869","SLC25A17","slc25a17"
"13870","SLC25A19","slc25a19"
"13871","SLC25A1","slc25a1b"
"13872","SLC25A20","slc25a20"
"13873","SLC25A21","slc25a21"
"13874","SLC25A23","slc25a23a"
"13875","SLC25A23","slc25a23b"
"13876","SLC25A25","slc25a24l"
"13877","SLC25A25","slc25a25a"
"13878","SLC25A25","slc25a25b"
"13879","SLC25A26","slc25a26"
"13880","SLC25A27","slc25a27"
"13881","SLC25A28","slc25a28"
"13882","SLC25A29","slc25a29"
"13883","SLC25A32","slc25a32a"
"13884","SLC25A32","slc25a32b"
"13885","SLC25A33","slc25a33"
"13886","SLC25A34","slc25a34"
"13887","SLC25A35","slc25a35"
"13888","SLC25A36","slc25a36a"
"13889","SLC25A36","slc25a36b"
"13890","SLC25A37","slc25a37"
"13891","SLC25A38","slc25a38a"
"13892","SLC25A38","slc25a38b"
"13893","SLC25A3","slc25a3a"
"13894","SLC25A3","slc25a3b"
"13895","SLC25A4","slc25a4"
"13896","SLC25A42","slc25a42"
"13897","SLC25A43","slc25a43"
"13898","SLC25A44","slc25a44a"
"13899","SLC25A44","slc25a44b"
"13900","SLC25A46","slc25a46"
"13901","SLC25A47","slc25a47a"
"13902","SLC25A47","slc25a47b"
"13903","SLC25A48","slc25a48"
"13904","SLC25A5","slc25a5"
"13905","SLC25A6","slc25a6"
"13906","SLC26A11","slc26a11"
"13907","SLC26A2","slc26a2"
"13908","SLC26A3","slc26a3.1"
"13909","SLC26A3","slc26a3.2"
"13910","SLC26A4","slc26a4"
"13911","SLC26A5","slc26a5"
"13912","SLC26A6","slc26a6"
"13913","SLC26A6","slc26a6l"
"13914","SLC27A1","slc27a1a"
"13915","SLC27A1","slc27a1b"
"13916","ACSL6","slc27a2a"
"13917","SLC27A4","slc27a4"
"13918","SLC27A6","slc27a6"
"13919","SLC28A1","slc28a1"
"13920","SLC29A1","slc29a1a"
"13921","SLC29A1","slc29a1b"
"13922","SLC29A2","slc29a2"
"13923","SLC29A3","slc29a3"
"13924","SLC29A4","slc29a4"
"13925","SLC2A10","slc2a10"
"13926","SLC2A11","slc2a11a"
"13927","SLC2A7","slc2a11b"
"13928","SLC2A3","slc2a11l"
"13929","SLC2A12","slc2a12"
"13930","SLC2A13","slc2a13b"
"13931","SLC2A7","slc2a15a"
"13932","SLC2A7","slc2a15b"
"13933","SLC2A1","slc2a1a"
"13934","SLC2A1","slc2a1b"
"13935","SLC2A2","slc2a2"
"13936","SLC2A3","slc2a3b"
"13937","SLC2A5","slc2a5"
"13938","SLC2A6","slc2a6"
"13939","SLC2A8","slc2a8"
"13940","SLC2A3","slc2a9l1"
"13941","SLC30A10","slc30a10"
"13942","SLC30A1","slc30a1a"
"13943","SLC30A1","slc30a1b"
"13944","SLC30A2","slc30a2"
"13945","SLC30A4","slc30a4"
"13946","SLC30A5","slc30a5"
"13947","SLC30A6","slc30a6"
"13948","SLC30A7","slc30a7"
"13949","SLC30A8","slc30a8"
"13950","SLC30A9","slc30a9"
"13951","SLC31A1","slc31a1"
"13952","SLC31A2","slc31a2"
"13953","SLC32A1","slc32a1"
"13954","SLC33A1","slc33a1"
"13955","SLC34A1","slc34a1a"
"13956","SLC34A1","slc34a1b"
"13957","SLC35A1","slc35a1"
"13958","SLC35A2","slc35a2"
"13959","SLC35A3","slc35a3a"
"13960","SLC35A3","slc35a3b"
"13961","SLC35A5","slc35a5"
"13962","SLC35B1","slc35b1"
"13963","SLC35B2","slc35b2"
"13964","SLC35B3","slc35b3"
"13965","SLC35B4","slc35b4"
"13966","SLC35C1","slc35c1"
"13967","SLC35C2","slc35c2"
"13968","SLC35D1","slc35d1a"
"13969","SLC35D2","slc35d2"
"13970","SLC35E1","slc35e1"
"13971","SLC35E3","slc35e3"
"13972","SLC35E4","slc35e4"
"13973","SLC35F1","slc35f1"
"13974","SLC35F2","slc35f2"
"13975","SLC35F2","slc35f2l"
"13976","SLC35F3","slc35f3a"
"13977","SLC35F3","slc35f3b"
"13978","SLC35F4","slc35f4"
"13979","SLC35F6","slc35f6"
"13980","SLC35G2","slc35g2a"
"13981","SLC35G2","slc35g2b"
"13982","SLC36A1","slc36a1"
"13983","SLC36A4","slc36a4"
"13984","SLC37A1","slc37a1"
"13985","SLC37A2","slc37a2"
"13986","SLC37A4","slc37a4a"
"13987","SLC17A4","slc37a4b"
"13988","SLC38A10","slc38a10"
"13989","SLC38A11","slc38a11"
"13990","SLC38A2","slc38a2"
"13991","SLC38A3","slc38a3a"
"13992","SLC38A3","slc38a3b"
"13993","SLC38A4","slc38a4"
"13994","SLC38A5","slc38a5a"
"13995","SLC36A2","slc38a5b"
"13996","SLC38A6","slc38a6"
"13997","SLC38A7","slc38a7"
"13998","SLC38A8","slc38a8a"
"13999","SLC38A8","slc38a8b"
"14000","SLC38A9","slc38a9"
"14001","SLC39A10","slc39a10"
"14002","SLC39A13","slc39a13"
"14003","SLC39A14","slc39a14"
"14004","SLC39A4","slc39a4"
"14005","SLC39A5","slc39a5"
"14006","SLC39A6","slc39a6"
"14007","SLC39A7","slc39a7"
"14008","SLC39A8","slc39a8"
"14009","SLC39A9","slc39a9"
"14010","SLC3A1","slc3a1"
"14011","SLC3A2","slc3a2a"
"14012","SLC3A2","slc3a2b"
"14013","SLC40A1","slc40a1"
"14014","SLC41A1","slc41a1"
"14015","SLC41A2","slc41a2a"
"14016","SLC41A2","slc41a2b"
"14017","SLC43A1","slc43a1a"
"14018","SLC43A1","slc43a1b"
"14019","SLC43A2","slc43a2a"
"14020","SLC43A2","slc43a2b"
"14021","SLC43A3","slc43a3a"
"14022","SLC43A3","slc43a3b"
"14023","SLC44A3","slc44a1a"
"14024","SLC44A1","slc44a1b"
"14025","SLC44A2","slc44a2"
"14026","SLC44A4","slc44a4"
"14027","SLC44A5","slc44a5a"
"14028","SLC44A5","slc44a5b"
"14029","SLC45A1","slc45a1"
"14030","SLC45A2","slc45a2"
"14031","SLC45A3","slc45a3"
"14032","SLC45A4","slc45a4b"
"14033","SLC46A1","slc46a1"
"14034","SLC46A2","slc46a2"
"14035","SLC46A3","slc46a3"
"14036","SLC47A2","slc47a1"
"14037","SLC47A2","slc47a4"
"14038","SLC48A1","slc48a1a"
"14039","SLC48A1","slc48a1b"
"14040","SLC49A4","slc49a4"
"14041","SLC4A10","slc4a10a"
"14042","SLC4A10","slc4a10b"
"14043","SLC4A11","slc4a11"
"14044","SLC4A1","slc4a1a"
"14045","SLC4A1AP","slc4a1ap"
"14046","SLC4A1","slc4a1b"
"14047","SLC4A2","slc4a2a"
"14048","SLC4A2","slc4a2b"
"14049","SLC4A3","slc4a3"
"14050","SLC4A4","slc4a4a"
"14051","SLC4A4","slc4a4b"
"14052","SLC4A7","slc4a7"
"14053","SLC4A8","slc4a8"
"14054","SLC50A1","slc50a1"
"14055","SLC52A1","slc52a2"
"14056","SLC52A3","slc52a3"
"14057","SLC5A1","slc5a1"
"14058","SLC5A11","slc5a11"
"14059","SLC5A12","slc5a12"
"14060","SLC5A2","slc5a2"
"14061","SLC5A3","slc5a3a"
"14062","SLC5A3","slc5a3b"
"14063","SLC5A5","slc5a5"
"14064","SLC5A6","slc5a6a"
"14065","SLC5A6","slc5a6b"
"14066","SLC5A7","slc5a7a"
"14067","SLC5A8","slc5a8"
"14068","SLC5A4","slc5a8l"
"14069","SLC5A9","slc5a9"
"14070","SLC66A1","slc66a1"
"14071","SLC66A3","slc66a3"
"14072","SLC6A11","slc6a11b"
"14073","SLC6A15","slc6a15"
"14074","SLC6A17","slc6a17"
"14075","SLC6A18","slc6a18"
"14076","SLC6A19","slc6a19a.1"
"14077","SLC6A19","slc6a19a.2"
"14078","SLC6A19","slc6a19b"
"14079","SLC6A1","slc6a1a"
"14080","SLC6A1","slc6a1b"
"14081","SLC6A2","slc6a2"
"14082","SLC6A3","slc6a3"
"14083","SLC6A4","slc6a4a"
"14084","SLC6A5","slc6a5"
"14085","SLC6A6","slc6a6a"
"14086","SLC6A6","slc6a6b"
"14087","SLC6A8","slc6a8"
"14088","SLC6A9","slc6a9"
"14089","SLC7A10","slc7a10a"
"14090","SLC7A10","slc7a10b"
"14091","SLC7A13","slc7a11"
"14092","SLC7A14","slc7a14a"
"14093","SLC7A1","slc7a1a"
"14094","SLC7A2","slc7a2"
"14095","SLC7A3","slc7a3a"
"14096","SLC7A3","slc7a3b"
"14097","SLC7A4","slc7a4"
"14098","SLC7A5","slc7a5"
"14099","SLC7A6","slc7a6"
"14100","SLC7A6OS","slc7a6os"
"14101","SLC7A7","slc7a7"
"14102","SLC7A8","slc7a8a"
"14103","SLC7A8","slc7a8b"
"14104","SLC7A9","slc7a9"
"14105","SLC8A1","slc8a1a"
"14106","SLC8A1","slc8a1b"
"14107","SLC8A2","slc8a2a"
"14108","SLC8A3","slc8a3"
"14109","SLC8B1","slc8b1"
"14110","SLC9A1","slc9a1b"
"14111","SLC9A2","slc9a2"
"14112","SLC9A3","slc9a3.1"
"14113","SLC9A3","slc9a3.2"
"14114","NHERF1","slc9a3r1a"
"14115","NHERF1","slc9a3r1b"
"14116","SLC9A5","slc9a5"
"14117","SLC9A6","slc9a6a"
"14118","SLC9A6","slc9a6b"
"14119","SLC9A7","slc9a7"
"14120","SLC9A8","slc9a8"
"14121","SLCO1C1","slco1c1"
"14122","SLCO2A1","slco2a1"
"14123","SLCO2B1","slco2b1"
"14124","SLCO3A1","slco3a1"
"14125","SLCO4A1","slco4a1"
"14126","SLCO5A1","slco5a1a"
"14127","SLF1","slf1"
"14128","SLF2","slf2"
"14129","SLIRP","slirp"
"14130","SLIT1","slit1a"
"14131","SLIT1","slit1b"
"14132","SLIT2","slit2"
"14133","SLIT3","slit3"
"14134","SLITRK2","slitrk2"
"14135","SLITRK3","slitrk3a"
"14136","SLITRK3","slitrk3b"
"14137","SLITRK4","slitrk4"
"14138","SLITRK5","slitrk5a"
"14139","SLITRK5","slitrk5b"
"14140","SLITRK6","slitrk6"
"14141","SLK","slka"
"14142","SLK","slkb"
"14143","SLMAP","slmapa"
"14144","SLTM","sltm"
"14145","SLU7","slu7"
"14146","SLX1A","slx1b"
"14147","SLX4","slx4"
"14148","SLX4IP","slx4ip"
"14149","SMAD1","smad1"
"14150","SMAD3","smad3a"
"14151","SMAD3","smad3b"
"14152","SMAD4","smad4a"
"14153","SMAD4","smad4b"
"14154","SMAD5","smad5"
"14155","SMAD6","smad6a"
"14156","SMAD6","smad6b"
"14157","SMAD7","smad7"
"14158","SMAP1","smap1"
"14159","SMAP2","smap2"
"14160","SMARCA1","smarca1"
"14161","SMARCA4","smarca4a"
"14162","SMARCAD1","smarcad1a"
"14163","SMARCAD1","smarcad1b"
"14164","SMARCAL1","smarcal1"
"14165","SMARCB1","smarcb1a"
"14166","SMARCB1","smarcb1b"
"14167","SMARCC1","smarcc1a"
"14168","SMARCC1","smarcc1b"
"14169","SMARCC2","smarcc2"
"14170","SMARCD1","smarcd1"
"14171","SMARCD2","smarcd2"
"14172","SMARCD3","smarcd3a"
"14173","SMARCD3","smarcd3b"
"14174","SMARCE1","smarce1"
"14175","SMC1A","smc1a"
"14176","SMC1A","smc1al"
"14177","SMC1B","smc1b"
"14178","SMC2","smc2"
"14179","SMC3","smc3"
"14180","SMC4","smc4"
"14181","SMC5","smc5"
"14182","SMCHD1","smchd1"
"14183","SMCR8","smcr8a"
"14184","SMDT1","smdt1a"
"14185","SMDT1","smdt1b"
"14186","PPP4R3A","smek1"
"14187","REXO2","smfn"
"14188","SMG1","smg1"
"14189","SMG5","smg5"
"14190","SMG6","smg6"
"14191","SMG7","smg7"
"14192","SMG8","smg8"
"14193","SMG9","smg9"
"14194","SMIM12","smim12"
"14195","SMIM13","smim13"
"14196","SMIM14","smim14"
"14197","SMIM19","smim19"
"14198","SMIM20","smim20"
"14199","SMIM29","smim29"
"14200","UQCC5","smim4"
"14201","SMIM7","smim7"
"14202","SMIM8","smim8"
"14203","SMKR1","smkr1"
"14204","SMN2","smn1"
"14205","SMNDC1","smndc1"
"14206","SMO","smo"
"14207","SMOC1","smoc1"
"14208","SMOC2","smoc2"
"14209","SMOX","smox"
"14210","SMPD1","smpd1"
"14211","SMPD2","smpd2a"
"14212","SMPD2","smpd2b"
"14213","SMPD3","smpd3"
"14214","SMPD4","smpd4"
"14215","SMPDL3A","smpdl3a"
"14216","SMPDL3B","smpdl3b"
"14217","SMPX","smpx"
"14218","SMS","sms"
"14219","SMTNL2","smtnl"
"14220","SMU1","smu1a"
"14221","SMU1","smu1b"
"14222","SMUG1","smug1"
"14223","SMURF1","smurf1"
"14224","SMURF2","smurf2"
"14225","LSM2","smx5"
"14226","SMYD1","smyd1a"
"14227","SMYD1","smyd1b"
"14228","SMYD2","smyd2a"
"14229","SMYD3","smyd3"
"14230","SMYD4","smyd4"
"14231","SMYD5","smyd5"
"14232","MYH6","smyhc1"
"14233","MYH6","smyhc2"
"14234","MYH6","smyhc3"
"14235","SNAI1","snai1a"
"14236","SNAI1","snai1b"
"14237","SNAI1","snai2"
"14238","SNAP23","snap23.1"
"14239","SNAP23","snap23.2"
"14240","SNAP25","snap25a"
"14241","SNAP25","snap25b"
"14242","SNAP29","snap29"
"14243","SNAP47","snap47"
"14244","SNAP91","snap91a"
"14245","SNAP91","snap91b"
"14246","SNAPC1","snapc1a"
"14247","SNAPC1","snapc1b"
"14248","SNAPC2","snapc2"
"14249","SNAPC3","snapc3"
"14250","SNAPC4","snapc4"
"14251","SNAPC5","snapc5"
"14252","SNAPIN","snapin"
"14253","SNCAIP","sncaip"
"14254","SNCB","sncb"
"14255","SNCG","sncga"
"14256","SNCG","sncgb"
"14257","SND1","snd1"
"14258","SNED1","sned1"
"14259","SNF8","snf8"
"14260","SLC4A1AP","snip1"
"14261","SNN","snn"
"14262","SNPH","snpha"
"14263","SNPH","snphb"
"14264","SNRK","snrka"
"14265","RNU11-5P","snrnau11"
"14266","SNRNP200","snrnp200"
"14267","SNRNP25","snrnp25"
"14268","SNRNP27","snrnp27"
"14269","SNRNP35","snrnp35"
"14270","SNRNP40","snrnp40"
"14271","SNRNP48","snrnp48"
"14272","SNRNP70","snrnp70"
"14273","SNRPA","snrpa"
"14274","SNRPA1","snrpa1"
"14275","SNRPB","snrpb"
"14276","SNRPB2","snrpb2"
"14277","SNRPC","snrpc"
"14278","SNRPD1","snrpd1"
"14279","SNRPD2","snrpd2"
"14280","SNRPD3","snrpd3l"
"14281","SNRPE","snrpe"
"14282","SNRPF","snrpf"
"14283","SNRPG","snrpg"
"14284","SNTB1","sntb1"
"14285","SNTB2","sntb2"
"14286","SNTG1","sntg1"
"14287","SNTG2","sntg2"
"14288","SNU13","snu13a"
"14289","SNU13","snu13b"
"14290","SNUPN","snupn"
"14291","SNW1","snw1"
"14292","SNX10","snx10a"
"14293","SNX10","snx10b"
"14294","SNX11","snx11"
"14295","SNX12","snx12"
"14296","SNX13","snx13"
"14297","SNX14","snx14"
"14298","SNX15","snx15"
"14299","SNX16","snx16"
"14300","SNX17","snx17"
"14301","SNX18","snx18a"
"14302","SNX18","snx18b"
"14303","SNX19","snx19a"
"14304","SNX19","snx19b"
"14305","SNX1","snx1a"
"14306","SNX1","snx1b"
"14307","SNX2","snx2"
"14308","SNX20","snx20"
"14309","SNX21","snx21"
"14310","SNX22","snx22"
"14311","SNX24","snx24"
"14312","SNX25","snx25"
"14313","SNX27","snx27a"
"14314","SNX27","snx27b"
"14315","SNX29","snx29"
"14316","SNX3","snx3"
"14317","SNX30","snx30"
"14318","SNX33","snx33"
"14319","SNX4","snx4"
"14320","SNX5","snx5"
"14321","SNX6","snx6"
"14322","SNX7","snx7"
"14323","SNX8","snx8a"
"14324","SNX8","snx8b"
"14325","SNX9","snx9a"
"14326","SNX9","snx9b"
"14327","SOAT1","soat1"
"14328","SOAT2","soat2"
"14329","SOBP","sobpa"
"14330","SOBP","sobpb"
"14331","SOCS1","socs1a"
"14332","SOCS5","socs1b"
"14333","SOCS2","socs2"
"14334","SOCS3","socs3a"
"14335","SOCS3","socs3b"
"14336","SOCS4","socs4"
"14337","SOCS6","socs6a"
"14338","SOCS6","socs6b"
"14339","SOCS7","socs7"
"14340","SOD1","sod1"
"14341","SOD2","sod2"
"14342","SOD3","sod3a"
"14343","SOD3","sod3b"
"14344","SOGA1","soga1"
"14345","SOGA3","soga3a"
"14346","SOGA3","soga3b"
"14347","SORBS1","sorbs1"
"14348","SORBS2","sorbs2a"
"14349","SORBS2","sorbs2b"
"14350","SORBS3","sorbs3"
"14351","SORCS2","sorcs2"
"14352","SORCS3","sorcs3b"
"14353","SORD","sord"
"14354","SORL1","sorl1"
"14355","SORT1","sort1a"
"14356","SORT1","sort1b"
"14357","SOS1","sos1"
"14358","SOS2","sos2"
"14359","SOST","sost"
"14360","SOSTDC1","sostdc1a"
"14361","HEBP2","soul2"
"14362","SOWAHA","sowahaa"
"14363","SOWAHA","sowahab"
"14364","SOWAHC","sowahca"
"14365","SOWAHC","sowahcb"
"14366","SOWAHD","sowahd"
"14367","SOX10","sox10"
"14368","SOX11","sox11a"
"14369","SOX11","sox11b"
"14370","SOX13","sox13"
"14371","SOX14","sox14"
"14372","SOX17","sox17"
"14373","SRY","sox19a"
"14374","SRY","sox19b"
"14375","SOX1","sox1a"
"14376","SOX1","sox1b"
"14377","SOX2","sox2"
"14378","SOX21","sox21b"
"14379","SOX3","sox3"
"14380","SRY","sox32"
"14381","SOX4","sox4a"
"14382","SOX4","sox4b"
"14383","SOX5","sox5"
"14384","SOX6","sox6"
"14385","SOX7","sox7"
"14386","SOX8","sox8a"
"14387","SOX8","sox8b"
"14388","SOX9","sox9a"
"14389","SOX9","sox9b"
"14390","SP1","sp1"
"14391","SP2","sp2"
"14392","SP3","sp3a"
"14393","SP3","sp3b"
"14394","SP4","sp4"
"14395","SP5","sp5a"
"14396","KLF17","sp5l"
"14397","SP6","sp6"
"14398","SP7","sp7"
"14399","SP8","sp8b"
"14400","SP9","sp9"
"14401","NRGN","spa17"
"14402","SPACA4","spaca4l"
"14403","SPACA9","spaca9"
"14404","SPAG6","spag6"
"14405","SPAG7","spag7"
"14406","SPAG8","spag8"
"14407","SPAG9","spag9a"
"14408","SPAM1","spam1"
"14409","SPARC","sparc"
"14410","SPARCL1","sparcl1"
"14411","SPART","sparta"
"14412","SPART","spartb"
"14413","SPAST","spast"
"14414","SPATA13","spata13"
"14415","SPATA17","spata17"
"14416","SPATA18","spata18"
"14417","SPATA2","spata2"
"14418","SPATA20","spata20"
"14419","SPATA22","spata22"
"14420","SPATA2L","spata2l"
"14421","SPATA4","spata4"
"14422","AFG2B","spata5l1"
"14423","SPATA6L","spata6l"
"14424","SPATA7","spata7"
"14425","SPC24","spc24"
"14426","SPC25","spc25"
"14427","SPCS1","spcs1"
"14428","SPCS2","spcs2"
"14429","SPCS3","spcs3"
"14430","SPDL1","spdl1"
"14431","SPDYA","spdya"
"14432","SPECC1","specc1"
"14433","SPECC1L","specc1la"
"14434","SPECC1L","specc1lb"
"14435","SPEF2","spef2"
"14436","SPEN","spen"
"14437","SPG11","spg11"
"14438","SPG21","spg21"
"14439","SPG7","spg7"
"14440","SPHK2","sphk2"
"14441","SPHKAP","sphkap"
"14442","SPIB","spi1a"
"14443","SPI1","spi1b"
"14444","SPIC","spic"
"14445","SPICE1","spice1"
"14446","SPIN3","spina"
"14447","SPIN3","spinb"
"14448","SPINK4","spink4"
"14449","EPPIN","spint1a"
"14450","EPPIN","spint1b"
"14451","SPINT2","spint2"
"14452","SPIRE1","spire1a"
"14453","SPIRE1","spire1b"
"14454","SPIRE2","spire2"
"14455","SPNS1","spns1"
"14456","SPNS3","spns3"
"14457","SPO11","spo11"
"14458","SPOCK1","spock1"
"14459","SPOCK2","spock2"
"14460","SPOCK3","spock3"
"14461","SPON1","spon1a"
"14462","SPON2","spon2b"
"14463","SPOP","spop"
"14464","SPOPL","spopla"
"14465","SPOPL","spoplb"
"14466","SPOUT1","spout1"
"14467","SPP2","spp2"
"14468","SPPL2B","sppl2"
"14469","SPPL3","sppl3"
"14470","SPR","spra"
"14471","SPR","sprb"
"14472","SPRED1","spred1"
"14473","SPRED2","spred2a"
"14474","SPRED2","spred2b"
"14475","SPRED3","spred3"
"14476","SPRTN","sprtn"
"14477","SPRY1","spry1"
"14478","SPRY2","spry2"
"14479","SPRY4","spry4"
"14480","SPRYD3","spryd3"
"14481","SPRYD4","spryd4"
"14482","SPRYD7","spryd7a"
"14483","SPRYD7","spryd7b"
"14484","SPSB1","spsb1"
"14485","SPSB3","spsb3a"
"14486","SPSB3","spsb3b"
"14487","SPSB4","spsb4b"
"14488","SPTAN1","sptan1"
"14489","SPTB","sptb"
"14490","SPTBN1","sptbn1"
"14491","SPTBN2","sptbn2"
"14492","SPTBN4","sptbn4b"
"14493","SPTBN5","sptbn5"
"14494","SPTLC1","sptlc1"
"14495","SPTLC2","sptlc2a"
"14496","SPTLC2","sptlc2b"
"14497","SPTLC3","sptlc3"
"14498","SPTSSA","sptssa"
"14499","SPTSSB","sptssb"
"14500","SPTY2D1","spty2d1"
"14501","SPX","spx"
"14502","SQLE","sqlea"
"14503","SQLE","sqleb"
"14504","SQOR","sqor"
"14505","SQSTM1","sqstm1"
"14506","SRA1","sra1"
"14507","SRBD1","srbd1"
"14508","SRC","src"
"14509","SRCAP","srcap"
"14510","SRD5A1","srd5a1"
"14511","SRD5A2","srd5a2a"
"14512","SRD5A2","srd5a2b"
"14513","SRD5A3","srd5a3"
"14514","SREBF1","srebf1"
"14515","SREBF2","srebf2"
"14516","SREK1","srek1"
"14517","SREK1IP1","srek1ip1"
"14518","SRF","srfa"
"14519","SRF","srfb"
"14520","SRFBP1","srfbp1"
"14521","SRGAP1","srgap1a"
"14522","SRGAP1","srgap1b"
"14523","SRGAP2","srgap2"
"14524","SRGAP3","srgap3"
"14525","SRGN","srgn"
"14526","SRI","sri"
"14527","SRL","srl"
"14528","SRM","srm"
"14529","SRP14","srp14"
"14530","SRP19","srp19"
"14531","SRP54","srp54"
"14532","SRP68","srp68"
"14533","SRP72","srp72"
"14534","SRP9","srp9"
"14535","SRPK1","srpk1b"
"14536","SRPK3","srpk3"
"14537","SRPRA","srpra"
"14538","SRPX","srpx"
"14539","SRPX2","srpx2"
"14540","SRRD","srrd"
"14541","SRRT","srrt"
"14542","SRSF10","srsf10b"
"14543","SRSF11","srsf11"
"14544","SRSF1","srsf1a"
"14545","SRSF1","srsf1b"
"14546","SRSF8","srsf2a"
"14547","SRSF8","srsf2b"
"14548","SRSF3","srsf3a"
"14549","SRSF3","srsf3b"
"14550","SRSF4","srsf4"
"14551","SRSF5","srsf5b"
"14552","SRSF6","srsf6a"
"14553","SRSF6","srsf6b"
"14554","SRSF7","srsf7b"
"14555","SRSF9","srsf9"
"14556","SRXN1","srxn1"
"14557","SS18","ss18"
"14558","SS18L2","ss18l2"
"14559","SSB","ssb"
"14560","SSBP1","ssbp1"
"14561","SSBP2","ssbp2"
"14562","SSBP3","ssbp3a"
"14563","SSBP3","ssbp3b"
"14564","SSBP4","ssbp4"
"14565","SSH1","ssh1a"
"14566","SSH1","ssh1b"
"14567","SSH2","ssh2a"
"14568","SSH2","ssh2b"
"14569","SSPN","sspn"
"14570","SSR1","ssr1"
"14571","SSR2","ssr2"
"14572","SSR3","ssr3"
"14573","SSR4","ssr4"
"14574","SSRP1","ssrp1a"
"14575","SSRP1","ssrp1b"
"14576","SST","sst1.1"
"14577","SST","sst1.2"
"14578","SSTR1","sstr1a"
"14579","SSTR2","sstr2a"
"14580","SSTR2","sstr2b"
"14581","SSTR5","sstr3"
"14582","SSTR3","sstr5"
"14583","SSU72","ssu72"
"14584","SSUH2","ssuh2.1"
"14585","SSX2IP","ssx2ipa"
"14586","SSX2IP","ssx2ipb"
"14587","ST13","st13"
"14588","PRSS22","st14a"
"14589","PRSS22","st14b"
"14590","ST3GAL1","st3gal1"
"14591","ST3GAL1","st3gal1l"
"14592","ST3GAL1","st3gal1l3"
"14593","ST3GAL2","st3gal2"
"14594","ST3GAL3","st3gal3a"
"14595","ST3GAL3","st3gal3b"
"14596","ST3GAL4","st3gal4"
"14597","ST3GAL5","st3gal5"
