"","human_gene","horse_gene"
"12731","SNORD110","SNORD110"
"12732","SNORD111B","SNORD111B"
"12733","SNORD112","SNORD112"
"12734","SNORD113-4","SNORD113-4"
"12735","SNORD113-5","SNORD113-5"
"12736","SNORD113-6","SNORD113-6"
"12737","SNORD113-7","SNORD113-7"
"12738","SNORD113-8","SNORD113-8"
"12739","SNORD113-9","SNORD113-9"
"12740","SNORD114-19","SNORD114-19"
"12741","SNORD115","SNORD115"
"12742","SNORD116-25","SNORD116"
"12743","SNORD11B","SNORD11B"
"12744","SNORD12","SNORD12"
"12745","SNORD121A","SNORD121A"
"12746","SNORD121B","SNORD121B"
"12747","SNORD123","SNORD123"
"12748","SNORD124","SNORD124"
"12749","SNORD125","SNORD125"
"12750","SNORD126","SNORD126"
"12751","SNORD127","SNORD127"
"12752","SNORD12B","SNORD12B"
"12753","SNORD12C","SNORD12C"
"12754","SNORD13","SNORD13"
"12755","SNORD14D","SNORD14"
"12756","SNORD15B","SNORD15"
"12757","SNORD16","SNORD16"
"12758","SNORD17","SNORD17"
"12759","SNORD18B","SNORD18"
"12760","SNORD19","SNORD19"
"12761","SNORD19B","SNORD19B"
"12762","SNORD1B","SNORD1B"
"12763","SNORD1C","SNORD1C"
"12764","SNORD2","SNORD2"
"12765","SNORD20","SNORD20"
"12766","SNORD21","SNORD21"
"12767","SNORD22","SNORD22"
"12768","SNORD24","SNORD24"
"12769","SNORD26","SNORD26"
"12770","SNORD27","SNORD27"
"12771","SNORD28","SNORD28"
"12772","SNORD29","SNORD29"
"12773","SNORD30","SNORD30"
"12774","SNORD31B","SNORD31"
"12775","SNORD32A","SNORD33"
"12776","SNORD34","SNORD34"
"12777","SNORD35A","SNORD35A"
"12778","SNORD35B","SNORD35B"
"12779","SNORD36A","SNORD36"
"12780","SNORD38A","SNORD38A"
"12781","SNORD38B","SNORD38B"
"12782","SNORD55","SNORD39"
"12783","SNORD3D","SNORD3D"
"12784","SNORD41","SNORD41"
"12785","SNORD42A","SNORD42"
"12786","SNORD43","SNORD43"
"12787","SNORD45A","SNORD45A"
"12788","SNORD45B","SNORD45B"
"12789","SNORD45C","SNORD45C"
"12790","SNORD48","SNORD48"
"12791","SNORD49A","SNORD49A"
"12792","SNORD49B","SNORD49B"
"12793","SNORD4A","SNORD4A"
"12794","SNORD4B","SNORD4B"
"12795","SNORD5","SNORD5"
"12796","SNORD50B","SNORD50B"
"12797","SNORD51","SNORD51"
"12798","SNORD52","SNORD52"
"12799","SNORD53","SNORD53"
"12800","SNORD53B","SNORD53B"
"12801","SNORD54","SNORD54"
"12802","SNORD56","SNORD56"
"12803","SNORD57","SNORD57"
"12804","SNORD58B","SNORD58"
"12805","SNORD59A","SNORD59A"
"12806","SNORD6","SNORD6"
"12807","SNORD61","SNORD61"
"12808","SNORD62A","SNORD62"
"12809","SNORD63","SNORD63"
"12810","SNORD65","SNORD65"
"12811","SNORD66","SNORD66"
"12812","SNORD67","SNORD67"
"12813","SNORD69","SNORD69"
"12814","SNORD7","SNORD7"
"12815","SNORD70","SNORD70"
"12816","SNORD70B","SNORD70B"
"12817","SNORD71","SNORD71"
"12818","SNORD72","SNORD72"
"12819","SNORD73B","SNORD73"
"12820","SNORD79","SNORD79"
"12821","SNORD8","SNORD8"
"12822","SNORD81","SNORD81"
"12823","SNORD82","SNORD82"
"12824","SNORD117","SNORD83"
"12825","SNORD83A","SNORD83A"
"12826","SNORD83B","SNORD83B"
"12827","SNORD86","SNORD86"
"12828","SNORD87","SNORD87"
"12829","SNORD88A","SNORD88A"
"12830","SNORD88B","SNORD88B"
"12831","SNORD88C","SNORD88C"
"12832","SNORD9","SNORD9"
"12833","SNORD90","SNORD90"
"12834","SNORD92","SNORD92"
"12835","SNORD93","SNORD93"
"12836","SNORD95","SNORD95"
"12837","SNORD96B","SNORD96"
"12838","SNORD97","SNORD97"
"12839","SNORD98","SNORD98"
"12840","SNORD99","SNORD99"
"12841","SNRK","SNRK"
"12842","SNRNP200","SNRNP200"
"12843","SNRNP35","SNRNP35"
"12844","SNRNP40","SNRNP40"
"12845","SNRNP48","SNRNP48"
"12846","SNRNP70","SNRNP70"
"12847","SNRPA","SNRPA"
"12848","SNRPA1","SNRPA1"
"12849","SNRPB","SNRPB"
"12850","SNRPB2","SNRPB2"
"12851","SNRPD1","SNRPD1"
"12852","SNRPD3","SNRPD3"
"12853","SNRPF","SNRPF"
"12854","SNRPG","SNRPG"
"12855","SNRPN","SNRPN"
"12856","SNTA1","SNTA1"
"12857","SNTB1","SNTB1"
"12858","SNTB2","SNTB2"
"12859","SNTG1","SNTG1"
"12860","SNTG2","SNTG2"
"12861","SNTN","SNTN"
"12862","SNUPN","SNUPN"
"12863","SNURF","SNURF"
"12864","SNW1","SNW1"
"12865","SNX1","SNX1"
"12866","SNX10","SNX10"
"12867","SNX11","SNX11"
"12868","SNX12","SNX12"
"12869","SNX13","SNX13"
"12870","SNX14","SNX14"
"12871","SNX15","SNX15"
"12872","SNX16","SNX16"
"12873","SNX17","SNX17"
"12874","SNX18","SNX18"
"12875","SNX19","SNX19"
"12876","SNX2","SNX2"
"12877","SNX20","SNX20"
"12878","SNX21","SNX21"
"12879","SNX22","SNX22"
"12880","SNX24","SNX24"
"12881","SNX25","SNX25"
"12882","SNX27","SNX27"
"12883","SNX29","SNX29"
"12884","SNX3","SNX3"
"12885","SNX30","SNX30"
"12886","SNX31","SNX31"
"12887","SNX32","SNX32"
"12888","SNX33","SNX33"
"12889","SNX4","SNX4"
"12890","SNX5","SNX5"
"12891","SNX6","SNX6"
"12892","SNX7","SNX7"
"12893","SNX8","SNX8"
"12894","SNX9","SNX9"
"12895","SOAT1","SOAT1"
"12896","SOAT2","SOAT2"
"12897","SOBP","SOBP"
"12898","SOCS1","SOCS1"
"12899","SOCS2","SOCS2"
"12900","SOCS3","SOCS3"
"12901","SOCS4","SOCS4"
"12902","SOCS5","SOCS5"
"12903","SOCS6","SOCS6"
"12904","SOCS7","SOCS7"
"12905","SOD1","SOD1"
"12906","SOD2","SOD2"
"12907","SOD3","SOD3"
"12908","SOGA1","SOGA1"
"12909","SOGA3","SOGA3"
"12910","SOHLH1","SOHLH1"
"12911","SOHLH2","SOHLH2"
"12912","SON","SON"
"12913","SORBS1","SORBS1"
"12914","SORBS2","SORBS2"
"12915","SORBS3","SORBS3"
"12916","SORCS1","SORCS1"
"12917","SORCS2","SORCS2"
"12918","SORCS3","SORCS3"
"12919","SORD","SORD"
"12920","SORL1","SORL1"
"12921","SORT1","SORT1"
"12922","SOS1","SOS1"
"12923","SOS2","SOS2"
"12924","SOSTDC1","SOSTDC1"
"12925","SOWAHA","SOWAHA"
"12926","SOWAHC","SOWAHC"
"12927","SOWAHD","SOWAHD"
"12928","SOX10","SOX10"
"12929","SOX11","SOX11"
"12930","SOX12","SOX12"
"12931","SOX13","SOX13"
"12932","SOX14","SOX14"
"12933","SOX18","SOX18"
"12934","SOX2","SOX2"
"12935","SOX21","SOX21"
"12936","SOX30","SOX30"
"12937","SOX4","SOX4"
"12938","SOX5","SOX5"
"12939","SOX6","SOX6"
"12940","SOX7","SOX7"
"12941","SOX8","SOX8"
"12942","SOX9","SOX9"
"12943","SP1","SP1"
"12944","SP100","SP100"
"12945","SP110","SP110"
"12946","SP2","SP2"
"12947","SP3","SP3"
"12948","SP4","SP4"
"12949","SP5","SP5"
"12950","SP6","SP6"
"12951","SP7","SP7"
"12952","SP8","SP8"
"12953","SP9","SP9"
"12954","SPA17","SPA17"
"12955","SPACA1","SPACA1"
"12956","SPACA3","SPACA3"
"12957","SPACA6","SPACA6"
"12958","SPACA9","SPACA9"
"12959","SPACDR","SPACDR"
"12960","SPAG1","SPAG1"
"12961","SPAG16","SPAG16"
"12962","SPAG17","SPAG17"
"12963","SPAG4","SPAG4"
"12964","SPAG5","SPAG5"
"12965","SPAG6","SPAG6"
"12966","SPAG7","SPAG7"
"12967","SPAG8","SPAG8"
"12968","SPAG9","SPAG9"
"12969","SPAM1","SPAM1"
"12970","SPARC","SPARC"
"12971","SPARCL1","SPARCL1"
"12972","SPART","SPART"
"12973","SPAST","SPAST"
"12974","SPATA1","SPATA1"
"12975","SPATA13","SPATA13"
"12976","SPATA16","SPATA16"
"12977","SPATA17","SPATA17"
"12978","SPATA18","SPATA18"
"12979","SPATA19","SPATA19"
"12980","SPATA2","SPATA2"
"12981","SPATA20","SPATA20"
"12982","SPATA21","SPATA21"
"12983","SPATA22","SPATA22"
"12984","SPATA24","SPATA24"
"12985","SPATA25","SPATA25"
"12986","SPATA2L","SPATA2L"
"12987","SPATA3","SPATA3"
"12988","SPATA4","SPATA4"
"12989","SPATA45","SPATA45"
"12990","SPATA46","SPATA46"
"12991","SPATA6","SPATA6"
"12992","SPATA6L","SPATA6L"
"12993","SPATA7","SPATA7"
"12994","SPATA9","SPATA9"
"12995","SPATC1","SPATC1"
"12996","SPATC1L","SPATC1L"
"12997","SPATS1","SPATS1"
"12998","SPATS2","SPATS2"
"12999","SPATS2L","SPATS2L"
"13000","SPC24","SPC24"
"13001","SPC25","SPC25"
"13002","SPCS2","SPCS2"
"13003","SPCS3","SPCS3"
"13004","SPDEF","SPDEF"
"13005","SPDL1","SPDL1"
"13006","SPECC1","SPECC1"
"13007","SPECC1L","SPECC1L"
"13008","SPEF2","SPEF2"
"13009","SPEG","SPEG"
"13010","SPEM2","SPEM2"
"13011","SPEN","SPEN"
"13012","SPESP1","SPESP1"
"13013","SPG11","SPG11"
"13014","SPG21","SPG21"
"13015","SPG7","SPG7"
"13016","SPHK1","SPHK1"
"13017","SPHK2","SPHK2"
"13018","SPHKAP","SPHKAP"
"13019","SPI1","SPI1"
"13020","SPIB","SPIB"
"13021","SPICE1","SPICE1"
"13022","SPIDR","SPIDR"
"13023","SPIN1","SPIN1"
"13024","SPIN3","SPIN3"
"13025","SPIN4","SPIN4"
"13026","SPINK14","SPINK14"
"13027","SPINK4","SPINK4"
"13028","SPINK5","SPINK5"
"13029","SPINK6","SPINK6"
"13030","SPINK7","SPINK7"
"13031","SPINK8","SPINK8"
"13032","SPINK9","SPINK9"
"13033","SPINT1","SPINT1"
"13034","SPINT2","SPINT2"
"13035","SPINT4","SPINT4"
"13036","SPIRE1","SPIRE1"
"13037","SPIRE2","SPIRE2"
"13038","SPMAP1","SPMAP1"
"13039","SPMAP2","SPMAP2"
"13040","SPMAP2L","SPMAP2L"
"13041","SPMIP10","SPMIP10"
"13042","SPMIP2","SPMIP2"
"13043","SPMIP3","SPMIP3"
"13044","SPMIP4","SPMIP4"
"13045","SPMIP5","SPMIP5"
"13046","SPMIP7","SPMIP7"
"13047","SPMIP9","SPMIP9"
"13048","SPNS1","SPNS1"
"13049","SPNS2","SPNS2"
"13050","SPNS3","SPNS3"
"13051","SPO11","SPO11"
"13052","SPOCD1","SPOCD1"
"13053","SPOCK1","SPOCK1"
"13054","SPOCK3","SPOCK3"
"13055","SPON1","SPON1"
"13056","SPON2","SPON2"
"13057","SPOP","SPOP"
"13058","SPOPL","SPOPL"
"13059","SPOUT1","SPOUT1"
"13060","SPP1","SPP1"
"13061","SPP2","SPP2"
"13062","SPPL2A","SPPL2A"
"13063","SPPL2B","SPPL2B"
"13064","SPPL2C","SPPL2C"
"13065","SPPL3","SPPL3"
"13066","SPR","SPR"
"13067","SPRED1","SPRED1"
"13068","SPRED2","SPRED2"
"13069","SPRED3","SPRED3"
"13070","SPRN","SPRN"
"13071","SPRR4","SPRR4"
"13072","SPRTN","SPRTN"
"13073","SPRY1","SPRY1"
"13074","SPRY2","SPRY2"
"13075","SPRY3","SPRY3"
"13076","SPRY4","SPRY4"
"13077","SPRYD3","SPRYD3"
"13078","SPRYD4","SPRYD4"
"13079","SPRYD7","SPRYD7"
"13080","SPSB1","SPSB1"
"13081","SPSB2","SPSB2"
"13082","SPSB3","SPSB3"
"13083","SPSB4","SPSB4"
"13084","SPTA1","SPTA1"
"13085","SPTAN1","SPTAN1"
"13086","SPTB","SPTB"
"13087","SPTBN1","SPTBN1"
"13088","SPTBN2","SPTBN2"
"13089","SPTBN4","SPTBN4"
"13090","SPTBN5","SPTBN5"
"13091","SPTLC1","SPTLC1"
"13092","SPTLC2","SPTLC2"
"13093","SPTLC3","SPTLC3"
"13094","SPTSSA","SPTSSA"
"13095","SPTSSB","SPTSSB"
"13096","SPTY2D1","SPTY2D1"
"13097","SPZ1","SPZ1"
"13098","SQLE","SQLE"
"13099","SQOR","SQOR"
"13100","SQSTM1","SQSTM1"
"13101","SRA1","SRA1"
"13102","SRARP","SRARP"
"13103","SRBD1","SRBD1"
"13104","SRC","SRC"
"13105","SRCAP","SRCAP"
"13106","SRCIN1","SRCIN1"
"13107","SRD5A1","SRD5A1"
"13108","SRD5A2","SRD5A2"
"13109","SRD5A3","SRD5A3"
"13110","SREBF1","SREBF1"
"13111","SREBF2","SREBF2"
"13112","SREK1","SREK1"
"13113","SREK1IP1","SREK1IP1"
"13114","SRF","SRF"
"13115","SRFBP1","SRFBP1"
"13116","SRGAP1","SRGAP1"
"13117","SRGAP3","SRGAP3"
"13118","SRGN","SRGN"
"13119","SRI","SRI"
"13120","SRL","SRL"
"13121","SRM","SRM"
"13122","SRMS","SRMS"
"13123","SRP14","SRP14"
"13124","SRP19","SRP19"
"13125","SRP54","SRP54"
"13126","SRP68","SRP68"
"13127","SRP72","SRP72"
"13128","SRP9","SRP9"
"13129","SRPK1","SRPK1"
"13130","SRPK2","SRPK2"
"13131","SRPK3","SRPK3"
"13132","SRPRA","SRPRA"
"13133","SRPRB","SRPRB"
"13134","SRPX","SRPX"
"13135","SRPX2","SRPX2"
"13136","SRR","SRR"
"13137","SRRD","SRRD"
"13138","SRRM1","SRRM1"
"13139","SRRM2","SRRM2"
"13140","SRRM3","SRRM3"
"13141","SRRM4","SRRM4"
"13142","SRRT","SRRT"
"13143","SRSF1","SRSF1"
"13144","SRSF10","SRSF10"
"13145","SRSF11","SRSF11"
"13146","SRSF12","SRSF12"
"13147","SRSF3","SRSF3"
"13148","SRSF4","SRSF4"
"13149","SRSF5","SRSF5"
"13150","SRSF6","SRSF6"
"13151","SRSF7","SRSF7"
"13152","SRSF9","SRSF9"
"13153","SS18","SS18"
"13154","SS18L1","SS18L1"
"13155","SSB","SSB"
"13156","SSBP2","SSBP2"
"13157","SSBP3","SSBP3"
"13158","SSBP4","SSBP4"
"13159","SSC4D","SSC4D"
"13160","SSC5D","SSC5D"
"13161","SSH1","SSH1"
"13162","SSH2","SSH2"
"13163","SSH3","SSH3"
"13164","SSMEM1","SSMEM1"
"13165","SSNA1","SSNA1"
"13166","SSPN","SSPN"
"13167","SSR1","SSR1"
"13168","SSR2","SSR2"
"13169","SSR3","SSR3"
"13170","SSR4","SSR4"
"13171","SSRP1","SSRP1"
"13172","SST","SST"
"13173","SSTR1","SSTR1"
"13174","SSTR2","SSTR2"
"13175","SSTR3","SSTR3"
"13176","SSTR5","SSTR5"
"13177","SSUH2","SSUH2"
"13178","SSX2IP","SSX2IP"
"13179","ST13","ST13"
"13180","ST14","ST14"
"13181","ST3GAL1","ST3GAL1"
"13182","ST3GAL2","ST3GAL2"
"13183","ST3GAL3","ST3GAL3"
"13184","ST3GAL4","ST3GAL4"
"13185","ST3GAL5","ST3GAL5"
"13186","ST3GAL6","ST3GAL6"
"13187","ST6GAL1","ST6GAL1"
"13188","ST6GAL2","ST6GAL2"
"13189","ST6GALNAC1","ST6GALNAC1"
"13190","ST6GALNAC2","ST6GALNAC2"
"13191","ST6GALNAC3","ST6GALNAC3"
"13192","ST6GALNAC4","ST6GALNAC4"
"13193","ST6GALNAC5","ST6GALNAC5"
"13194","ST6GALNAC6","ST6GALNAC6"
"13195","ST7","ST7"
"13196","ST7L","ST7L"
"13197","ST8SIA2","ST8SIA2"
"13198","ST8SIA3","ST8SIA3"
"13199","ST8SIA4","ST8SIA4"
"13200","ST8SIA5","ST8SIA5"
"13201","ST8SIA6","ST8SIA6"
"13202","STAB1","STAB1"
"13203","STAB2","STAB2"
"13204","STAC","STAC"
"13205","STAC2","STAC2"
"13206","STAC3","STAC3"
"13207","STAG1","STAG1"
"13208","STAG2","STAG2"
"13209","STAG3","STAG3"
"13210","STAM","STAM"
"13211","STAM2","STAM2"
"13212","STAMBP","STAMBP"
"13213","STAMBPL1","STAMBPL1"
"13214","STAP1","STAP1"
"13215","STAP2","STAP2"
"13216","LSM1","STAR"
"13217","STARD10","STARD10"
"13218","STARD13","STARD13"
"13219","STARD3","STARD3"
"13220","STARD3NL","STARD3NL"
"13221","STARD4","STARD4"
"13222","STARD5","STARD5"
"13223","STARD6","STARD6"
"13224","STARD7","STARD7"
"13225","STARD8","STARD8"
"13226","STAT1","STAT1"
"13227","STAT2","STAT2"
"13228","STAT3","STAT3"
"13229","STAT4","STAT4"
"13230","STAT5A","STAT5A"
"13231","STAT5B","STAT5B"
"13232","STAT6","STAT6"
"13233","STAU1","STAU1"
"13234","STAU2","STAU2"
"13235","STBD1","STBD1"
"13236","STC1","STC1"
"13237","STC2","STC2"
"13238","STEAP2","STEAP2"
"13239","STEAP3","STEAP3"
"13240","STEAP4","STEAP4"
"13241","STEEP1","STEEP1"
"13242","STIL","STIL"
"13243","STIM1","STIM1"
"13244","STIM2","STIM2"
"13245","STIMATE","STIMATE"
"13246","STING1","STING1"
"13247","STIP1","STIP1"
"13248","STK10","STK10"
"13249","STK11","STK11"
"13250","STK11IP","STK11IP"
"13251","STK16","STK16"
"13252","STK17A","STK17A"
"13253","STK17B","STK17B"
"13254","STK19","STK19"
"13255","STK24","STK24"
"13256","STK25","STK25"
"13257","STK26","STK26"
"13258","STK3","STK3"
"13259","STK31","STK31"
"13260","STK32A","STK32A"
"13261","STK32B","STK32B"
"13262","STK32C","STK32C"
"13263","STK33","STK33"
"13264","STK35","STK35"
"13265","STK36","STK36"
"13266","STK38","STK38"
"13267","STK38L","STK38L"
"13268","STK39","STK39"
"13269","STK4","STK4"
"13270","STK40","STK40"
"13271","STKLD1","STKLD1"
"13272","STMN1","STMN1"
"13273","STMN2","STMN2"
"13274","STMN3","STMN3"
"13275","STMN4","STMN4"
"13276","STMND1","STMND1"
"13277","STN1","STN1"
"13278","STOM","STOM"
"13279","STOML1","STOML1"
"13280","STOML2","STOML2"
"13281","STOML3","STOML3"
"13282","STON1","STON1"
"13283","STON2","STON2"
"13284","STOX1","STOX1"
"13285","STOX2","STOX2"
"13286","STPG1","STPG1"
"13287","STPG2","STPG2"
"13288","STPG3","STPG3"
"13289","STPG4","STPG4"
"13290","STRA6","STRA6"
"13291","STRA8","STRA8"
"13292","STRADA","STRADA"
"13293","STRADB","STRADB"
"13294","STRAP","STRAP"
"13295","STRBP","STRBP"
"13296","STRC","STRC"
"13297","STRIP1","STRIP1"
"13298","STRIP2","STRIP2"
"13299","STRN","STRN"
"13300","STRN3","STRN3"
"13301","STRN4","STRN4"
"13302","STS","STS"
"13303","STT3A","STT3A"
"13304","STT3B","STT3B"
"13305","STUB1","STUB1"
"13306","STUM","STUM"
"13307","STX10","STX10"
"13308","STX11","STX11"
"13309","STX12","STX12"
"13310","STX16","STX16"
"13311","STX17","STX17"
"13312","STX18","STX18"
"13313","STX19","STX19"
"13314","STX1A","STX1A"
"13315","STX1B","STX1B"
"13316","STX2","STX2"
"13317","STX3","STX3"
"13318","STX4","STX4"
"13319","STX5","STX5"
"13320","STX6","STX6"
"13321","STX7","STX7"
"13322","STX8","STX8"
"13323","STXBP1","STXBP1"
"13324","STXBP2","STXBP2"
"13325","STXBP4","STXBP4"
"13326","STXBP5","STXBP5"
"13327","STXBP5L","STXBP5L"
"13328","STXBP6","STXBP6"
"13329","STYK1","STYK1"
"13330","STYX","STYX"
"13331","STYXL1","STYXL1"
"13332","STYXL2","STYXL2"
"13333","SUB1","SUB1"
"13334","SUCLA2","SUCLA2"
"13335","SUCLG2","SUCLG2"
"13336","SUCNR1","SUCNR1"
"13337","SUCO","SUCO"
"13338","SUDS3","SUDS3"
"13339","SUFU","SUFU"
"13340","SUGCT","SUGCT"
"13341","SUGP1","SUGP1"
"13342","SUGP2","SUGP2"
"13343","SUGT1","SUGT1"
"13344","SULF1","SULF1"
"13345","SULF2","SULF2"
"13346","SULT1B1","SULT1B1"
"13347","SULT1C2","SULT1C2"
"13348","SULT1C3","SULT1C3"
"13349","SULT1C4","SULT1C4"
"13350","SULT2B1","SULT2B1"
"13351","SULT4A1","SULT4A1"
"13352","SULT6B1","SULT6B1"
"13353","SUMF1","SUMF1"
"13354","SUMF2","SUMF2"
"13355","SUMO1","SUMO1"
"13356","SUN1","SUN1"
"13357","SUN2","SUN2"
"13358","SUN3","SUN3"
"13359","SUN5","SUN5"
"13360","SUOX","SUOX"
"13361","SUPT16H","SUPT16H"
"13362","SUPT20H","SUPT20H"
"13363","SUPT3H","SUPT3H"
"13364","SUPT4H1","SUPT4H1"
"13365","SUPT5H","SUPT5H"
"13366","SUPT6H","SUPT6H"
"13367","SUPT7L","SUPT7L"
"13368","SUPV3L1","SUPV3L1"
"13369","SURF1","SURF1"
"13370","SURF2","SURF2"
"13371","SURF4","SURF4"
"13372","SURF6","SURF6"
"13373","SUSD1","SUSD1"
"13374","SUSD2","SUSD2"
"13375","SUSD4","SUSD4"
"13376","SUSD5","SUSD5"
"13377","SUSD6","SUSD6"
"13378","SUV39H1","SUV39H1"
"13379","SUV39H2","SUV39H2"
"13380","SUZ12","SUZ12"
"13381","SV2A","SV2A"
"13382","SV2B","SV2B"
"13383","SV2C","SV2C"
"13384","SVBP","SVBP"
"13385","SVEP1","SVEP1"
"13386","SVIL","SVIL"
"13387","SVIP","SVIP"
"13388","SVOP","SVOP"
"13389","SVOPL","SVOPL"
"13390","SWAP70","SWAP70"
"13391","SWSAP1","SWSAP1"
"13392","SWT1","SWT1"
"13393","SYAP1","SYAP1"
"13394","SYBU","SYBU"
"13395","SYCE1","SYCE1"
"13396","SYCE2","SYCE2"
"13397","SYCP1","SYCP1"
"13398","SYCP2","SYCP2"
"13399","SYCP2L","SYCP2L"
"13400","SYCP3","SYCP3"
"13401","SYDE1","SYDE1"
"13402","SYDE2","SYDE2"
"13403","SYK","SYK"
"13404","SYMPK","SYMPK"
"13405","SYN1","SYN1"
"13406","SYN2","SYN2"
"13407","SYN3","SYN3"
"13408","SYNC","SYNC"
"13409","SYNCRIP","SYNCRIP"
"13410","SYNDIG1","SYNDIG1"
"13411","SYNDIG1L","SYNDIG1L"
"13412","SYNE1","SYNE1"
"13413","SYNE2","SYNE2"
"13414","SYNE3","SYNE3"
"13415","ALKBH6","SYNE4"
"13416","SYNGAP1","SYNGAP1"
"13417","SYNGR1","SYNGR1"
"13418","SYNGR2","SYNGR2"
"13419","SYNGR3","SYNGR3"
"13420","SYNGR4","SYNGR4"
"13421","SYNJ1","SYNJ1"
"13422","SYNJ2","SYNJ2"
"13423","SYNJ2BP","SYNJ2BP"
"13424","SYNM","SYNM"
"13425","SYNPO","SYNPO"
"13426","SYNPO2","SYNPO2"
"13427","SYNPO2L","SYNPO2L"
"13428","SYNPR","SYNPR"
"13429","SYNRG","SYNRG"
"13430","SYP","SYP"
"13431","SYPL1","SYPL1"
"13432","SYPL2","SYPL2"
"13433","SYS1","SYS1"
"13434","SYT1","SYT1"
"13435","SYT10","SYT10"
"13436","SYT11","SYT11"
"13437","SYT12","SYT12"
"13438","SYT13","SYT13"
"13439","SYT14","SYT14"
"13440","SYT16","SYT16"
"13441","SYT17","SYT17"
"13442","SYT2","SYT2"
"13443","SYT3","SYT3"
"13444","SYT4","SYT4"
"13445","SYT5","SYT5"
"13446","SYT6","SYT6"
"13447","SYT7","SYT7"
"13448","SYT9","SYT9"
"13449","SYTL1","SYTL1"
"13450","SYTL2","SYTL2"
"13451","SYTL3","SYTL3"
"13452","SYTL4","SYTL4"
"13453","SYTL5","SYTL5"
"13454","SYVN1","SYVN1"
"13455","SZRD1","SZRD1"
"13456","SZT2","SZT2"
"13457","TAAR1","TAAR1"
"13458","TAAR2","TAAR2"
"13459","TAAR9","TAAR9"
"13460","TAB1","TAB1"
"13461","TAB2","TAB2"
"13462","TAB3","TAB3"
"13463","TAC1","TAC1"
"13464","TAC4","TAC4"
"13465","TACC1","TACC1"
"13466","TACC2","TACC2"
"13467","TACC3","TACC3"
"13468","TACO1","TACO1"
"13469","TACR1","TACR1"
"13470","TACR2","TACR2"
"13471","TACR3","TACR3"
"13472","TACSTD2","TACSTD2"
"13473","TADA1","TADA1"
"13474","TADA2A","TADA2A"
"13475","TADA2B","TADA2B"
"13476","TADA3","TADA3"
"13477","TAF10","TAF10"
"13478","TAF11","TAF11"
"13479","TAF12","TAF12"
"13480","TAF13","TAF13"
"13481","TAF15","TAF15"
"13482","TAF1B","TAF1B"
"13483","TAF1C","TAF1C"
"13484","TAF1D","TAF1D"
"13485","TAF2","TAF2"
"13486","TAF3","TAF3"
"13487","TAF4","TAF4"
"13488","TAF4B","TAF4B"
"13489","TAF5","TAF5"
"13490","TAF5L","TAF5L"
"13491","TAF6","TAF6"
"13492","TAF6L","TAF6L"
"13493","TAF7L","TAF7L"
"13494","TAF8","TAF8"
"13495","TAF9","TAF9"
"13496","TAF9B","TAF9B"
"13497","TAFA1","TAFA1"
"13498","TAFA2","TAFA2"
"13499","TAFA3","TAFA3"
"13500","TAFA4","TAFA4"
"13501","TAFAZZIN","TAFAZZIN"
"13502","TAGAP","TAGAP"
"13503","TAGLN","TAGLN"
"13504","TAGLN2","TAGLN2"
"13505","TAGLN3","TAGLN3"
"13506","TAL1","TAL1"
"13507","TALDO1","TALDO1"
"13508","TAMALIN","TAMALIN"
"13509","TAMM41","TAMM41"
"13510","TANC1","TANC1"
"13511","TANC2","TANC2"
"13512","TANGO2","TANGO2"
"13513","HAS3","TANGO6"
"13514","TANK","TANK"
"13515","TAOK1","TAOK1"
"13516","TAOK2","TAOK2"
"13517","TAOK3","TAOK3"
"13518","TAP1","TAP1"
"13519","TAP2","TAP2"
"13520","TAPBP","TAPBP"
"13521","TAPBPL","TAPBPL"
"13522","TAPT1","TAPT1"
"13523","TARBP1","TARBP1"
"13524","TARBP2","TARBP2"
"13525","TARDBP","TARDBP"
"13526","TARS1","TARS1"
"13527","TARS2","TARS2"
"13528","TARS3","TARS3"
"13529","TAS1R1","TAS1R1"
"13530","TAS1R3","TAS1R3"
"13531","TAS2R1","TAS2R1"
"13532","TAS2R14","TAS2R14"
"13533","TAS2R42","TAS2R42"
"13534","TAS2R7","TAS2R7"
"13535","TAS2R8","TAS2R8"
"13536","TAS2R9","TAS2R9"
"13537","TASL","TASL"
"13538","TASOR","TASOR"
"13539","TASOR2","TASOR2"
"13540","TASP1","TASP1"
"13541","TAT","TAT"
"13542","TATDN1","TATDN1"
"13543","TATDN2","TATDN2"
"13544","TATDN3","TATDN3"
"13545","TAX1BP1","TAX1BP1"
"13546","TAX1BP3","TAX1BP3"
"13547","TBATA","TBATA"
"13548","TBC1D1","TBC1D1"
"13549","TBC1D10A","TBC1D10A"
"13550","TBC1D10B","TBC1D10B"
"13551","TBC1D10C","TBC1D10C"
"13552","TBC1D12","TBC1D12"
"13553","TBC1D13","TBC1D13"
"13554","TBC1D15","TBC1D15"
"13555","TBC1D16","TBC1D16"
"13556","TBC1D17","TBC1D17"
"13557","TBC1D19","TBC1D19"
"13558","TBC1D2","TBC1D2"
"13559","TBC1D20","TBC1D20"
"13560","TBC1D21","TBC1D21"
"13561","TBC1D22A","TBC1D22A"
"13562","TBC1D22B","TBC1D22B"
"13563","TBC1D23","TBC1D23"
"13564","TBC1D24","TBC1D24"
"13565","TBC1D25","TBC1D25"
"13566","TBC1D2B","TBC1D2B"
"13567","TBC1D30","TBC1D30"
"13568","TBC1D31","TBC1D31"
