"","human_gene","rat_gene"
"16100","SPATA32","Spata32"
"16101","SPATA33","Spata33"
"16102","SPATA4","Spata4"
"16103","SPATA46","Spata46"
"16104","SPMIP7","Spata48"
"16105","AFG2A","Spata5"
"16106","AFG2B","Spata5l1"
"16107","SPATA6","Spata6"
"16108","SPATA6L","Spata6l"
"16109","SPATA7","Spata7"
"16110","SPATA9","Spata9"
"16111","SPATC1","Spatc1"
"16112","SPATC1L","Spatc1l"
"16113","SPATS1","Spats1"
"16114","SPATS2","Spats2"
"16115","SPATS2L","Spats2l"
"16116","SPC24","Spc24"
"16117","SPC25","Spc25"
"16118","SPCS1","Spcs1"
"16119","SPCS2","Spcs2"
"16120","SPDEF","Spdef"
"16121","SPDL1","Spdl1"
"16122","SPDYA","Spdya"
"16123","SPDYE4","Spdye4"
"16124","SPECC1","Specc1"
"16125","SPECC1L","Specc1l"
"16126","SPEF1","Spef1"
"16127","SPEF2","Spef2"
"16128","SPEG","Speg"
"16129","SPEM1","Spem1"
"16130","SPEM2","Spem2"
"16131","SPEM3","Spem3"
"16132","SPEN","Spen"
"16133","SPESP1","Spesp1"
"16134","SPG11","Spg11"
"16135","SPG21","Spg21"
"16136","SPG7","Spg7"
"16137","SPHK1","Sphk1"
"16138","SPHK2","Sphk2"
"16139","SPHKAP","Sphkap"
"16140","SPI1","Spi1"
"16141","SPIB","Spib"
"16142","SPIC","Spic"
"16143","SPICE1","Spice1"
"16144","SPIDR","Spidr"
"16145","SPIN1","Spin1"
"16146","SPIN4","Spin4"
"16147","SPINDOC","Spindoc"
"16148","SPINK1","Spink1"
"16149","SPINK9","Spink10"
"16150","SPINK13","Spink13"
"16151","SPINK14","Spink14"
"16152","SPINK2","Spink2"
"16153","SPINK5","Spink5"
"16154","SPINK7","Spink7"
"16155","SPINK8","Spink8"
"16156","SPINT1","Spint1"
"16157","SPINT2","Spint2"
"16158","SPINT3","Spint3"
"16159","SPINT4","Spint4"
"16160","SPIRE1","Spire1"
"16161","SPIRE2","Spire2"
"16162","SPN","Spn"
"16163","SPN","Spnl1"
"16164","SPNS1","Spns1"
"16165","SPNS2","Spns2"
"16166","SPNS3","Spns3"
"16167","SPO11","Spo11"
"16168","SPOCK1","Spock1"
"16169","SPOCK2","Spock2"
"16170","SPOCK3","Spock3"
"16171","SPON1","Spon1"
"16172","SPON2","Spon2"
"16173","SPOP","Spop"
"16174","SPOP","Spopfm2l1"
"16175","SPOPL","Spopl"
"16176","SPOUT1","Spout1"
"16177","SPP1","Spp1"
"16178","SPP2","Spp2"
"16179","SPPL2A","Sppl2a"
"16180","SPPL2B","Sppl2b"
"16181","SPPL2C","Sppl2c"
"16182","SPPL3","Sppl3"
"16183","SPR","Spr"
"16184","SPR","Spr-ps1"
"16185","SPRED1","Spred1"
"16186","SPRED2","Spred2"
"16187","SPRED3","Spred3"
"16188","SPRING1","Spring1"
"16189","SPRN","Sprn"
"16190","SPRR3","Sprr3"
"16191","SPRR4","Sprr4"
"16192","SPRTN","Sprtn"
"16193","SPRY1","Spry1"
"16194","SPRY2","Spry2"
"16195","SPRY3","Spry3"
"16196","SPRY3","Spry3-ps1"
"16197","SPRY4","Spry4"
"16198","SPRYD3","Spryd3"
"16199","SPRYD4","Spryd4"
"16200","SPRYD7","Spryd7"
"16201","SPSB1","Spsb1"
"16202","SPSB2","Spsb2"
"16203","SPSB3","Spsb3"
"16204","SPSB4","Spsb4"
"16205","SPTA1","Spta1"
"16206","SPTAN1","Sptan1"
"16207","SPTB","Sptb"
"16208","SPTBN1","Sptbn1"
"16209","SPTBN2","Sptbn2"
"16210","SPTBN4","Sptbn4"
"16211","SPTBN5","Sptbn5"
"16212","SPTLC1","Sptlc1"
"16213","SPTLC2","Sptlc2"
"16214","SPTLC3","Sptlc3"
"16215","SPTSSA","Sptssa"
"16216","SPTY2D1","Spty2d1"
"16217","SPX","Spx"
"16218","SPZ1","Spz1"
"16219","SQLE","Sqle"
"16220","SQOR","Sqor"
"16221","SQSTM1","Sqstm1"
"16222","SRA1","Sra1"
"16223","SRBD1","Srbd1"
"16224","SRC","Src"
"16225","SRCAP","Srcap"
"16226","SRCIN1","Srcin1"
"16227","SRD5A1","Srd5a1"
"16228","SRD5A2","Srd5a2"
"16229","SRD5A3","Srd5a3"
"16230","SREBF1","Srebf1"
"16231","SREBF2","Srebf2"
"16232","SREK1IP1","Srek1ip1-ps1"
"16233","SRF","Srf"
"16234","SRFBP1","Srfbp1"
"16235","SRGAP1","Srgap1"
"16236","SRGAP2","Srgap2"
"16237","SRGAP3","Srgap3"
"16238","SRGN","Srgn"
"16239","SRI","Sri"
"16240","SRL","Srl"
"16241","SRM","Srm"
"16242","SRMS","Srms"
"16243","SRP14","Srp14"
"16244","SRP19","Srp19"
"16245","SRP54","Srp54a"
"16246","SRP68","Srp68"
"16247","SRP9","Srp9"
"16248","SRPK1","Srpk1"
"16249","SRPK2","Srpk2"
"16250","SRPK3","Srpk3"
"16251","SRPRA","Srpra"
"16252","SRPX2","Srpx2"
"16253","SRR","Srr"
"16254","SRRD","Srrd"
"16255","SRRM1","Srrm1"
"16256","SRRM2","Srrm2"
"16257","SRRM3","Srrm3"
"16258","SRRM4","Srrm4"
"16259","SRRM5","Srrm5"
"16260","SRRT","Srrt"
"16261","SRSF1","Srsf1"
"16262","SRSF10","Srsf10"
"16263","SRSF11","Srsf11"
"16264","SRSF12","Srsf12"
"16265","SRSF2","Srsf2"
"16266","SRSF4","Srsf4"
"16267","SRSF5","Srsf5"
"16268","SRSF6","Srsf6"
"16269","SRSF7","Srsf7"
"16270","SRSF8","Srsf8"
"16271","SRSF9","Srsf9"
"16272","SRXN1","Srxn1"
"16273","SRY","Sry"
"16274","SS18","Ss18"
"16275","SS18L1","Ss18l1"
"16276","SS18L2","Ss18l2"
"16277","SSB","Ssb"
"16278","SSBP1","Ssbp1"
"16279","SSBP2","Ssbp2"
"16280","SSBP3","Ssbp3"
"16281","SSBP4","Ssbp4"
"16282","SSC4D","Ssc4d"
"16283","SSC5D","Ssc5d"
"16284","SSH1","Ssh1"
"16285","SSH2","Ssh2"
"16286","SSH3","Ssh3"
"16287","SSMEM1","Ssmem1"
"16288","SSNA1","Ssna1"
"16289","SSPN","Sspn"
"16290","SSR1","Ssr1"
"16291","SSR2","Ssr2"
"16292","SSR3","Ssr3"
"16293","SSR4","Ssr4"
"16294","SSRP1","Ssrp1"
"16295","SST","Sst"
"16296","SSTR1","Sstr1"
"16297","SSTR2","Sstr2"
"16298","SSTR3","Sstr3"
"16299","SSTR4","Sstr4"
"16300","SSTR5","Sstr5"
"16301","SPIN2B","Ssty1-ps5"
"16302","SPIN2B","Ssty1-ps9"
"16303","SSU72","Ssu72"
"16304","SSUH2","Ssuh2"
"16305","SSX1","Ssx1"
"16306","SSX3","Ssx2"
"16307","SSX2IP","Ssx2ip"
"16308","ST14","St14"
"16309","ST18","St18"
"16310","ST3GAL1","St3gal1"
"16311","ST3GAL2","St3gal2"
"16312","ST3GAL3","St3gal3"
"16313","ST3GAL5","St3gal5"
"16314","ST3GAL6","St3gal6"
"16315","ST6GAL1","St6gal1"
"16316","ST6GAL2","St6gal2"
"16317","ST6GALNAC1","St6galnac1"
"16318","ST6GALNAC2","St6galnac2"
"16319","ST6GALNAC3","St6galnac3"
"16320","ST6GALNAC4","St6galnac4"
"16321","ST6GALNAC5","St6galnac5"
"16322","ST6GALNAC6","St6galnac6"
"16323","ST7L","St7l"
"16324","ST8SIA1","St8sia1"
"16325","ST8SIA2","St8sia2"
"16326","ST8SIA3","St8sia3"
"16327","ST8SIA4","St8sia4"
"16328","ST8SIA5","St8sia5"
"16329","ST8SIA6","St8sia6"
"16330","STAB1","Stab1"
"16331","STAB2","Stab2"
"16332","STAC","Stac"
"16333","STAC2","Stac2"
"16334","STAC3","Stac3"
"16335","STAG1","Stag1"
"16336","STAG2","Stag2"
"16337","STAG3","Stag3"
"16338","STAM","Stam"
"16339","STAM2","Stam2"
"16340","STAMBP","Stambp"
"16341","STAMBPL1","Stambpl1"
"16342","STAP1","Stap1"
"16343","STAP2","Stap2"
"16344","STAR","Star"
"16345","STARD10","Stard10"
"16346","STARD13","Stard13"
"16347","STARD3","Stard3"
"16348","STARD3NL","Stard3nl"
"16349","STARD4","Stard4"
"16350","STARD5","Stard5"
"16351","STARD6","Stard6"
"16352","STARD7","Stard7"
"16353","STARD8","Stard8"
"16354","STAT2","Stat2"
"16355","STAT3","Stat3"
"16356","STAT1","Stat4"
"16357","STAT5A","Stat5a"
"16358","STAT5B","Stat5b"
"16359","STAT6","Stat6"
"16360","STAU1","Stau1"
"16361","STBD1","Stbd1"
"16362","STC1","Stc1"
"16363","STC2","Stc2"
"16364","STEAP1","Steap1"
"16365","STEAP2","Steap2"
"16366","STEAP3","Steap3"
"16367","STEAP4","Steap4"
"16368","STEEP1","Steep1"
"16369","CSTA","Stfa2"
"16370","CSTA","Stfa2l1"
"16371","CSTA","Stfa2l2"
"16372","CSTA","Stfa2l3"
"16373","CSTA","Stfa3"
"16374","CSTA","Stfa3l1"
"16375","STIL","Stil"
"16376","STIM1","Stim1"
"16377","STIM2","Stim2"
"16378","STIMATE","Stimate"
"16379","STING1","Sting1"
"16380","STIP1","Stip1"
"16381","STK10","Stk10"
"16382","STK11","Stk11"
"16383","STK11IP","Stk11ip"
"16384","STK16","Stk16"
"16385","STK17B","Stk17b"
"16386","STK19","Stk19"
"16387","STK24","Stk24"
"16388","STK25","Stk25"
"16389","STK26","Stk26"
"16390","STK3","Stk3"
"16391","STK31","Stk31"
"16392","STK32A","Stk32a"
"16393","STK32B","Stk32b"
"16394","STK32C","Stk32c"
"16395","STK33","Stk33"
"16396","STK35","Stk35"
"16397","STK36","Stk36"
"16398","STK38","Stk38"
"16399","STK38L","Stk38l"
"16400","STK39","Stk39"
"16401","STK4","Stk4"
"16402","STK40","Stk40"
"16403","STKLD1","Stkld1"
"16404","STMN1","Stmn1"
"16405","STMN2","Stmn2"
"16406","STMN3","Stmn3"
"16407","STMN4","Stmn4"
"16408","STMND1","Stmnd1"
"16409","STN1","Stn1"
"16410","STOM","Stom"
"16411","STOML1","Stoml1"
"16412","STOML2","Stoml2"
"16413","STOML3","Stoml3"
"16414","STON1","Ston1"
"16415","STON2","Ston2"
"16416","STOX1","Stox1"
"16417","STOX2","Stox2"
"16418","STPG1","Stpg1"
"16419","STPG2","Stpg2"
"16420","STPG3","Stpg3"
"16421","STPG4","Stpg4"
"16422","STRA6","Stra6"
"16423","STRA8","Stra8"
"16424","STRADA","Strada"
"16425","STRADB","Stradb"
"16426","STRAP","Strap"
"16427","STRBP","Strbp"
"16428","STRC","Strc"
"16429","STRIP1","Strip1"
"16430","STRIP2","Strip2"
"16431","STRN","Strn"
"16432","STRN3","Strn3"
"16433","STRN4","Strn4"
"16434","STS","Sts"
"16435","STT3A","Stt3a"
"16436","STT3B","Stt3b"
"16437","STUB1","Stub1"
"16438","STUM","Stum"
"16439","STX11","Stx11"
"16440","STX12","Stx12"
"16441","STX16","Stx16"
"16442","STX17","Stx17"
"16443","STX18","Stx18"
"16444","STX19","Stx19"
"16445","STX1A","Stx1a"
"16446","STX1B","Stx1b"
"16447","STX2","Stx2"
"16448","STX3","Stx3"
"16449","STX4","Stx4"
"16450","STX5","Stx5"
"16451","STX6","Stx6"
"16452","STX7","Stx7"
"16453","STX8","Stx8"
"16454","STXBP1","Stxbp1"
"16455","STXBP2","Stxbp2"
"16456","STXBP3","Stxbp3"
"16457","STXBP4","Stxbp4"
"16458","STXBP5","Stxbp5"
"16459","STXBP5L","Stxbp5l"
"16460","STXBP6","Stxbp6"
"16461","STYK1","Styk1"
"16462","STYX","Styx"
"16463","STYXL1","Styxl1"
"16464","STYXL2","Styxl2"
"16465","SUB1","Sub1"
"16466","SUCLA2","Sucla2"
"16467","SUCLG1","Suclg1"
"16468","SUCLG2","Suclg2"
"16469","SUCNR1","Sucnr1"
"16470","SUCO","Suco"
"16471","SUDS3","Suds3"
"16472","SUFU","Sufu"
"16473","SUGCT","Sugct"
"16474","SUGP1","Sugp1"
"16475","SUGP2","Sugp2"
"16476","SUGT1","Sugt1"
"16477","SULF1","Sulf1"
"16478","SULF2","Sulf2"
"16479","SULT1B1","Sult1b1"
"16480","SULT1C3","Sult1c3"
"16481","SULT1E1","Sult1e1"
"16482","SULT2A1","Sult2a2"
"16483","SULT2A1","Sult2a2-ps1"
"16484","SULT2B1","Sult2b1"
"16485","SULT4A1","Sult4a1"
"16486","SULT1A2","Sult5a1"
"16487","SULT6B1","Sult6b1"
"16488","SUMF1","Sumf1"
"16489","SUMF2","Sumf2"
"16490","JPT1","Sumo2"
"16491","SUMO4","Sumo4"
"16492","SUN1","Sun1"
"16493","SUN2","Sun2"
"16494","SUN3","Sun3"
"16495","SUN5","Sun5"
"16496","SUOX","Suox"
"16497","SUPT16H","Supt16h"
"16498","SUPT20H","Supt20h"
"16499","SUPT3H","Supt3h"
"16500","SUPT4H1","Supt4h1"
"16501","SUPT5H","Supt5h"
"16502","SUPT6H","Supt6h"
"16503","SUPT7L","Supt7l"
"16504","SUPV3L1","Supv3l1"
"16505","SURF4","Surf1"
"16506","SURF2","Surf2"
"16507","SURF4","Surf4"
"16508","SURF6","Surf6"
"16509","SUSD1","Susd1"
"16510","SUSD2","Susd2"
"16511","SUSD3","Susd3"
"16512","SUSD4","Susd4"
"16513","SUSD5","Susd5"
"16514","SUSD6","Susd6"
"16515","SUV39H1","Suv39h1"
"16516","SUV39H2","Suv39h2"
"16517","SUZ12","Suz12"
"16518","SV2A","Sv2a"
"16519","SV2B","Sv2b"
"16520","SV2C","Sv2c"
"16521","SVBP","Svbp"
"16522","SVEP1","Svep1"
"16523","SVIL","Svil"
"16524","SVIP","Svip"
"16525","SVOP","Svop"
"16526","SVOPL","Svopl"
"16527","AOC1","Svs1"
"16528","SEMG2","Svs3a"
"16529","SEMG2","Svs3b"
"16530","SWAP70","Swap70"
"16531","SWI5","Swi5"
"16532","SWSAP1","Swsap1"
"16533","SWT1","Swt1"
"16534","SYAP1","Syap1"
"16535","SYBU","Sybu"
"16536","SYCE1","Syce1"
"16537","SYCE1L","Syce1l"
"16538","SYCE3","Syce3"
"16539","SYCN","Sycn"
"16540","SYCP1","Sycp1"
"16541","SYCP2","Sycp2"
"16542","SYCP2L","Sycp2l"
"16543","SYCP3","Sycp3"
"16544","SYDE1","Syde1"
"16545","SYDE2","Syde2"
"16546","SYF2","Syf2"
"16547","SYK","Syk"
"16548","SYMPK","Sympk"
"16549","SYN1","Syn1"
"16550","SYN2","Syn2"
"16551","SYN3","Syn3"
"16552","ERVFRD-1","Synb"
"16553","SYNC","Sync"
"16554","SYNCRIP","Syncrip"
"16555","SYNDIG1","Syndig1"
"16556","SYNDIG1L","Syndig1l"
"16557","SYNE1","Syne1"
"16558","SYNE2","Syne2"
"16559","SYNE3","Syne3"
"16560","SYNE4","Syne4"
"16561","SYNGAP1","Syngap1"
"16562","SYNGR1","Syngr1"
"16563","SYNGR2","Syngr2"
"16564","SYNGR3","Syngr3"
"16565","SYNGR4","Syngr4"
"16566","SYNJ1","Synj1"
"16567","SYNJ2","Synj2"
"16568","SYNJ2BP","Synj2bp"
"16569","SYNM","Synm"
"16570","SYNPO","Synpo"
"16571","SYNPO2","Synpo2"
"16572","SYNPO2L","Synpo2l"
"16573","SYNPR","Synpr"
"16574","SYNRG","Synrg"
"16575","SYP","Syp"
"16576","SYPL1","Sypl1"
"16577","SYPL2","Sypl2"
"16578","DBNDD2","Sys1"
"16579","SYT1","Syt1"
"16580","SYT10","Syt10"
"16581","SYT11","Syt11"
"16582","SYT12","Syt12"
"16583","SYT13","Syt13"
"16584","SYT14","Syt14"
"16585","SYT15","Syt15"
"16586","SYT16","Syt16"
"16587","SYT17","Syt17"
"16588","SYT2","Syt2"
"16589","SYT3","Syt3"
"16590","SYT4","Syt4"
"16591","SYT5","Syt5"
"16592","SYT6","Syt6"
"16593","SYT7","Syt7"
"16594","SYT8","Syt8"
"16595","SYT9","Syt9"
"16596","SYTL1","Sytl1"
"16597","SYTL2","Sytl2"
"16598","SYTL3","Sytl3"
"16599","SYTL4","Sytl4"
"16600","SYTL5","Sytl5"
"16601","SYVN1","Syvn1"
"16602","SZRD1","Szrd1"
"16603","SZT2","Szt2"
"16604","TAAR1","Taar1"
"16605","TAAR2","Taar2"
"16606","TAAR5","Taar5"
"16607","TAAR8","Taar8a"
"16608","TAAR8","Taar8c"
"16609","TAAR9","Taar9"
"16610","TAB1","Tab1"
"16611","TAB2","Tab2"
"16612","TAB3","Tab3"
"16613","TAC3","Tac3"
"16614","TAC4","Tac4"
"16615","TACC1","Tacc1"
"16616","TACC2","Tacc2"
"16617","TACC3","Tacc3"
"16618","TACO1","Taco1"
"16619","TACR1","Tacr1"
"16620","TACR2","Tacr2"
"16621","TACR3","Tacr3"
"16622","TACSTD2","Tacstd2"
"16623","TADA1","Tada1"
"16624","TADA2A","Tada2a"
"16625","TADA2B","Tada2b"
"16626","TADA3","Tada3"
"16627","TAF1","Taf1"
"16628","TAF10","Taf10"
"16629","TAF11","Taf11"
"16630","TAF12","Taf12"
"16631","TAF13","Taf13"
"16632","TAF15","Taf15"
"16633","TAF1A","Taf1a"
"16634","TAF1B","Taf1b"
"16635","TAF1C","Taf1c"
"16636","TAF1D","Taf1d"
"16637","TAF2","Taf2"
"16638","TAF4","Taf4"
"16639","TAF4B","Taf4b"
"16640","TAF5","Taf5"
"16641","TAF5L","Taf5l"
"16642","TAF6","Taf6"
"16643","TAF6L","Taf6l"
"16644","TAF7","Taf7"
"16645","TAF7L","Taf7l"
"16646","TAF7L","Taf7l-ps1"
"16647","TAF8","Taf8"
"16648","TAF9","Taf9"
"16649","TAF9B","Taf9b"
"16650","TAFA2","Tafa2"
"16651","TAFA3","Tafa3"
"16652","TAFA4","Tafa4"
"16653","TAFA5","Tafa5"
"16654","TAFAZZIN","Tafazzin"
"16655","TAGAP","Tagap"
"16656","TAGLN","Tagln"
"16657","TAGLN2","Tagln2"
"16658","TAGLN3","Tagln3"
"16659","TAL1","Tal1"
"16660","TAL2","Tal2"
"16661","TALDO1","Taldo1"
"16662","TAMALIN","Tamalin"
"16663","TAMM41","Tamm41"
"16664","TANC1","Tanc1"
"16665","TANC2","Tanc2"
"16666","TANGO2","Tango2"
"16667","TANGO6","Tango6"
"16668","TANK","Tank"
"16669","TAOK1","Taok1"
"16670","TAOK2","Taok2"
"16671","TAOK3","Taok3"
"16672","TAP1","Tap1"
"16673","TAP2","Tap2"
"16674","TAPBP","Tapbp"
"16675","TAPT1","Tapt1"
"16676","TARBP1","Tarbp1"
"16677","TARBP2","Tarbp2"
"16678","TARDBP","Tardbp"
"16679","TARM1","Tarm1"
"16680","TARS1","Tars1"
"16681","TARS2","Tars2"
"16682","TARS3","Tars3"
"16683","TAS1R1","Tas1r1"
"16684","TAS1R2","Tas1r2"
"16685","TAS1R3","Tas1r3"
"16686","TAS2R13","Tas2r102"
"16687","TAS2R10","Tas2r104"
"16688","TAS2R10","Tas2r105"
"16689","TAS2R10","Tas2r106"
"16690","TAS2R10","Tas2r107"
"16691","TAS2R4","Tas2r108"
"16692","TAS2R14","Tas2r109"
"16693","TAS2R14","Tas2r110"
"16694","TAS2R14","Tas2r113"
"16695","TAS2R10","Tas2r114"
"16696","TAS2R14","Tas2r116"
"16697","TAS2R16","Tas2r118"
"16698","TAS2R1","Tas2r119"
"16699","TAS2R31","Tas2r120"
"16700","TAS2R13","Tas2r124"
"16701","TAS2R14","Tas2r125"
"16702","TAS2R41","Tas2r126"
"16703","TAS2R14","Tas2r129"
"16704","TAS2R13","Tas2r13"
"16705","TAS2R7","Tas2r130"
"16706","TAS2R60","Tas2r135"
"16707","TAS2R31","Tas2r136"
"16708","TAS2R3","Tas2r137"
"16709","TAS2R38","Tas2r138"
"16710","TAS2R39","Tas2r139"
"16711","TAS2R14","Tas2r140"
"16712","TAS2R40","Tas2r144"
"16713","TAS2R42","Tas2r145"
"16714","TASL","Tasl"
"16715","TASOR","Tasor"
"16716","TASOR2","Tasor2"
"16717","TASP1","Tasp1"
"16718","TAT","Tat"
"16719","TATDN1","Tatdn1"
"16720","TATDN3","Tatdn3"
"16721","TAX1BP1","Tax1bp1"
"16722","TAX1BP3","Tax1bp3"
"16723","TBATA","Tbata"
"16724","TBC1D1","Tbc1d1"
"16725","TBC1D10A","Tbc1d10a"
"16726","TBC1D10B","Tbc1d10b"
"16727","TBC1D10C","Tbc1d10c"
"16728","TBC1D12","Tbc1d12"
"16729","TBC1D13","Tbc1d13"
"16730","TBC1D14","Tbc1d14"
"16731","TBC1D15","Tbc1d15"
"16732","TBC1D16","Tbc1d16"
"16733","TBC1D17","Tbc1d17"
"16734","TBC1D19","Tbc1d19"
"16735","TBC1D2","Tbc1d2"
"16736","TBC1D20","Tbc1d20"
"16737","TBC1D21","Tbc1d21"
"16738","TBC1D22A","Tbc1d22a"
"16739","TBC1D22B","Tbc1d22b"
"16740","TBC1D23","Tbc1d23"
"16741","TBC1D24","Tbc1d24"
"16742","TBC1D25","Tbc1d25"
"16743","TBC1D2B","Tbc1d2b"
"16744","TBC1D30","Tbc1d30"
"16745","TBC1D31","Tbc1d31"
"16746","TBC1D32","Tbc1d32"
"16747","TBC1D4","Tbc1d4"
"16748","TBC1D5","Tbc1d5"
"16749","TBC1D7","Tbc1d7"
"16750","TBC1D8","Tbc1d8"
"16751","TBC1D8B","Tbc1d8b"
"16752","TBC1D9","Tbc1d9"
"16753","TBC1D9B","Tbc1d9b"
"16754","TBCA","Tbca"
"16755","TBCB","Tbcb"
"16756","TBCC","Tbcc"
"16757","TBCCD1","Tbccd1"
"16758","TBCD","Tbcd"
"16759","TBCE","Tbce"
"16760","TBCEL","Tbcel"
"16761","TBCK","Tbck"
"16762","TBK1","Tbk1"
"16763","TBKBP1","Tbkbp1"
"16764","TBL1X","Tbl1x"
"16765","TBL1XR1","Tbl1xr1"
"16766","TBL2","Tbl2"
"16767","TBL3","Tbl3"
"16768","TBP","Tbp"
"16769","TBPL1","Tbpl1"
"16770","TBPL2","Tbpl2"
"16771","TBR1","Tbr1"
"16772","TBRG1","Tbrg1"
"16773","TBRG4","Tbrg4"
"16774","TBX1","Tbx1"
"16775","TBX15","Tbx15"
"16776","TBX18","Tbx18"
"16777","TBX19","Tbx19"
"16778","TBX2","Tbx2"
"16779","TBX20","Tbx20"
"16780","TBX21","Tbx21"
"16781","TBX22","Tbx22"
"16782","TBX3","Tbx3"
"16783","TBX4","Tbx4"
"16784","TBX5","Tbx5"
"16785","TBX6","Tbx6"
"16786","TBXA2R","Tbxa2r"
"16787","TBXAS1","Tbxas1"
"16788","TBXT","Tbxt"
"16789","TC2N","Tc2n"
"16790","TCAF1","Tcaf1"
"16791","TCAF2","Tcaf2c"
"16792","TCAIM","Tcaim"
"16793","TCAP","Tcap"
"16794","TCEA1","Tcea1"
"16795","TCEA1","Tcea1l1"
"16796","TCEA2","Tcea2"
"16797","TCEA3","Tcea3"
"16798","TCEAL1","Tceal1"
"16799","TCEAL3","Tceal3"
"16800","TCEAL5","Tceal5"
"16801","TCEAL3","Tceal6"
"16802","TCEAL7","Tceal7"
"16803","TCEAL8","Tceal8"
"16804","TCEAL9","Tceal9"
"16805","TCEANC","Tceanc"
"16806","TCEANC2","Tceanc2"
"16807","TCERG1","Tcerg1"
"16808","TCERG1L","Tcerg1l"
"16809","TCF12","Tcf12"
"16810","TCF15","Tcf15"
"16811","TCF19","Tcf19"
"16812","TCF20","Tcf20"
"16813","TCF21","Tcf21"
"16814","TCF23","Tcf23"
"16815","TCF24","Tcf24"
"16816","TCF25","Tcf25"
"16817","TCF3","Tcf3"
"16818","TCF4","Tcf4"
"16819","TCF7","Tcf7"
"16820","TCF7L1","Tcf7l1"
"16821","TCF7L2","Tcf7l2"
"16822","TCFL5","Tcfl5"
"16823","TCHHL1","Tchhl1"
"16824","TCIRG1","Tcirg1"
"16825","TCL1A","Tcl1a"
"16826","TCN2","Tcn2"
"16827","TCOF1","Tcof1"
"16828","TCP1","Tcp1"
"16829","TCP10L","Tcp10b"
"16830","TCP11","Tcp11"
"16831","TCP11L1","Tcp11l1"
"16832","TCP11L2","Tcp11l2"
"16833","TCP11X2","Tcp11x2"
"16834","TCTE1","Tcte1"
"16835","TCTN1","Tctn1"
"16836","TCTN3","Tctn3"
"16837","TDG","Tdg"
"16838","TDGF1P3","Tdgf1"
"16839","TDO2","Tdo2"
"16840","TDP1","Tdp1"
"16841","TDP2","Tdp2"
"16842","SPOP","Tdpoz1-ps10"
"16843","SPOP","Tdpoz1-ps13"
"16844","SPOP","Tdpoz1-ps14"
"16845","SPOP","Tdpoz1-ps4"
"16846","SPOP","Tdpoz1-ps5"
"16847","SPOP","Tdpoz1-ps9"
"16848","SPOP","Tdpoz2"
"16849","SPOP","Tdpoz2l1"
"16850","TDRD1","Tdrd1"
"16851","TDRD12","Tdrd12"
"16852","TDRD15","Tdrd15"
"16853","TDRD3","Tdrd3"
"16854","TDRD5","Tdrd5"
"16855","TDRD6","Tdrd6"
"16856","TDRD7","Tdrd7"
"16857","TDRD9","Tdrd9"
"16858","TDRKH","Tdrkh"
"16859","TDRP","Tdrp"
"16860","TEAD1","Tead1"
"16861","TEAD2","Tead2"
"16862","TEAD3","Tead3"
"16863","TEAD4","Tead4"
"16864","TEC","Tec"
"16865","TECPR1","Tecpr1"
"16866","TECPR2","Tecpr2"
"16867","TECR","Tecr"
"16868","TECRL","Tecrl"
"16869","TECTA","Tecta"
"16870","TECTB","Tectb"
"16871","TEDC1","Tedc1"
"16872","TEDC2","Tedc2"
"16873","TEDDM1","Teddm1a"
"16874","TEDDM1","Teddm1b"
"16875","TEF","Tef"
"16876","TEFM","Tefm"
"16877","TEK","Tek"
"16878","TEKT1","Tekt1"
"16879","TEKT2","Tekt2"
"16880","TEKT3","Tekt3"
"16881","TEKT4","Tekt4"
"16882","TEKT5","Tekt5"
"16883","TEKTIP1","Tektip1"
"16884","TELO2","Telo2"
"16885","TEN1","Ten1"
"16886","TENM1","Tenm1"
"16887","TENM2","Tenm2"
"16888","TENM3","Tenm3"
"16889","TENM4","Tenm4"
"16890","TENT2","Tent2"
"16891","TENT4A","Tent4a"
"16892","TENT4B","Tent4b"
"16893","TENT5A","Tent5a"
"16894","TENT5B","Tent5b"
"16895","TENT5C","Tent5c"
"16896","TENT5D","Tent5d"
"16897","TEP1","Tep1"
"16898","SPMIP8","Tepp"
"16899","TEPSIN","Tepsin"
"16900","TERB1","Terb1"
"16901","TERB2","Terb2"
"16902","TERF1","Terf1"
"16903","TERF2","Terf2"
"16904","TERF2IP","Terf2ip"
"16905","TERT","Tert"
"16906","TES","Tes"
"16907","TESC","Tescl"
"16908","TESK1","Tesk1"
"16909","TESK2","Tesk2"
"16910","TES","Tesl"
"16911","TESMIN","Tesmin"
"16912","TET1","Tet1"
"16913","TET2","Tet2"
"16914","TET3","Tet3"
"16915","TEX10","Tex10"
"16916","TEX101","Tex101"
"16917","TEX11","Tex11"
"16918","TEX12","Tex12"
"16919","TEX13B","Tex13a"
"16920","TEX13B","Tex13b"
"16921","TEX13C","Tex13c"
"16922","TEX14","Tex14"
"16923","TEX15","Tex15"
"16924","TEX19","Tex19.1"
"16925","TEX19","Tex19.2"
"16926","TEX2","Tex2"
"16927","TEX22","Tex22"
"16928","TEX26","Tex26"
"16929","TEX261","Tex261"
"16930","TEX264","Tex264"
"16931","TEX28","Tex28"
"16932","TEX29","Tex29"
"16933","TEX30","Tex30"
"16934","CIMIP4","Tex33"
"16935","TEX35","Tex35"
"16936","TEX36","Tex36"
"16937","SPMIP9","Tex37"
"16938","TEX38","Tex38"
"16939","SPMIP10","Tex43"
